sample,cell_type,ndufb7_group,mean_proportion,n_spots
Visium_FZ_P20,Adipocyte,High,0.009532757237129378,968
Visium_FZ_P20,Cardiomyocyte,High,0.23649549144834844,968
Visium_FZ_P20,Endothelial,High,0.19886339699376226,968
Visium_FZ_P20,Fibroblast,High,0.2982533020512855,968
Visium_FZ_P20,Lymphoid,High,0.022652001907562166,968
Visium_FZ_P20,Mast,High,0.01317084312752257,968
Visium_FZ_P20,Myeloid,High,0.07022053034720009,968
Visium_FZ_P20,Neuronal,High,0.011604641518535411,968
Visium_FZ_P20,Pericyte,High,0.052870152682725234,968
Visium_FZ_P20,Cycling.cells,High,0.03688898475587622,968
Visium_FZ_P20,vSMCs,High,0.049447897930052706,968
Visium_FZ_P20,Adipocyte,Low,0.00905618883910367,1442
Visium_FZ_P20,Cardiomyocyte,Low,0.10348952860489656,1442
Visium_FZ_P20,Endothelial,Low,0.16552538451704382,1442
Visium_FZ_P20,Fibroblast,Low,0.40708491826909676,1442
Visium_FZ_P20,Lymphoid,Low,0.024988174603489517,1442
Visium_FZ_P20,Mast,Low,0.02025411240842683,1442
Visium_FZ_P20,Myeloid,Low,0.10756184246883278,1442
Visium_FZ_P20,Neuronal,Low,0.009549670754506277,1442
Visium_FZ_P20,Pericyte,Low,0.02639070873134678,1442
Visium_FZ_P20,Cycling.cells,Low,0.04729481979798555,1442
Visium_FZ_P20,vSMCs,Low,0.07880465100527143,1442
Visium_GT_IZ_P13,Adipocyte,High,0.04263721837656149,678
Visium_GT_IZ_P13,Cardiomyocyte,High,0.006211788462996903,678
Visium_GT_IZ_P13,Endothelial,High,0.047541044503315096,678
Visium_GT_IZ_P13,Fibroblast,High,0.25092075863168756,678
Visium_GT_IZ_P13,Lymphoid,High,0.04345109019430311,678
Visium_GT_IZ_P13,Mast,High,0.057960103220177264,678
Visium_GT_IZ_P13,Myeloid,High,0.4721157299373273,678
Visium_GT_IZ_P13,Neuronal,High,0.008964051340131588,678
Visium_GT_IZ_P13,Pericyte,High,0.023859983309335794,678
Visium_GT_IZ_P13,Cycling.cells,High,0.01685981806666959,678
Visium_GT_IZ_P13,vSMCs,High,0.029478413957494363,678
Visium_GT_IZ_P13,Adipocyte,Low,0.04343671913029835,1212
Visium_GT_IZ_P13,Cardiomyocyte,Low,0.01880158428442241,1212
Visium_GT_IZ_P13,Endothelial,Low,0.042725955259853836,1212
Visium_GT_IZ_P13,Fibroblast,Low,0.2530958536721256,1212
Visium_GT_IZ_P13,Lymphoid,Low,0.03442584314510948,1212
Visium_GT_IZ_P13,Mast,Low,0.05922779235680315,1212
Visium_GT_IZ_P13,Myeloid,Low,0.47594964303989745,1212
Visium_GT_IZ_P13,Neuronal,Low,0.008027919403887189,1212
Visium_GT_IZ_P13,Pericyte,Low,0.02135445155590829,1212
Visium_GT_IZ_P13,Cycling.cells,Low,0.01652134935293704,1212
Visium_GT_IZ_P13,vSMCs,Low,0.026432888798757208,1212
Visium_GT_IZ_P15,Adipocyte,High,0.0016749154405316091,1786
Visium_GT_IZ_P15,Cardiomyocyte,High,0.1957991604895236,1786
Visium_GT_IZ_P15,Endothelial,High,0.1758766479136287,1786
Visium_GT_IZ_P15,Fibroblast,High,0.26540349207871256,1786
Visium_GT_IZ_P15,Lymphoid,High,0.006619325360520471,1786
Visium_GT_IZ_P15,Mast,High,0.006666826570163718,1786
Visium_GT_IZ_P15,Myeloid,High,0.1351610978102572,1786
Visium_GT_IZ_P15,Neuronal,High,0.0038787645658190707,1786
Visium_GT_IZ_P15,Pericyte,High,0.07980563051055042,1786
Visium_GT_IZ_P15,Cycling.cells,High,0.11301173729829057,1786
Visium_GT_IZ_P15,vSMCs,High,0.016102401962002057,1786
Visium_GT_IZ_P15,Adipocyte,Low,0.0017083318967971032,1786
Visium_GT_IZ_P15,Cardiomyocyte,Low,0.12545418773637326,1786
Visium_GT_IZ_P15,Endothelial,Low,0.14017961353023814,1786
Visium_GT_IZ_P15,Fibroblast,Low,0.2680372246018071,1786
Visium_GT_IZ_P15,Lymphoid,Low,0.006744683801436687,1786
Visium_GT_IZ_P15,Mast,Low,0.005497516527920116,1786
Visium_GT_IZ_P15,Myeloid,Low,0.20511260374616772,1786
Visium_GT_IZ_P15,Neuronal,Low,0.0035974480726209323,1786
Visium_GT_IZ_P15,Pericyte,Low,0.052416093317283065,1786
Visium_GT_IZ_P15,Cycling.cells,Low,0.1762383308694414,1786
Visium_GT_IZ_P15,vSMCs,Low,0.015013965899914454,1786
Visium_GT_IZ_P9,Adipocyte,High,0.002372470452277911,2180
Visium_GT_IZ_P9,Cardiomyocyte,High,0.3246198784448264,2180
Visium_GT_IZ_P9,Endothelial,High,0.16572727886502847,2180
Visium_GT_IZ_P9,Fibroblast,High,0.19685165550919675,2180
Visium_GT_IZ_P9,Lymphoid,High,0.013180376057079937,2180
Visium_GT_IZ_P9,Mast,High,0.00669083889280187,2180
Visium_GT_IZ_P9,Myeloid,High,0.13977156011832667,2180
Visium_GT_IZ_P9,Neuronal,High,0.01720723945916369,2180
Visium_GT_IZ_P9,Pericyte,High,0.04190788024334554,2180
Visium_GT_IZ_P9,Cycling.cells,High,0.06975915433061845,2180
Visium_GT_IZ_P9,vSMCs,High,0.021911667627334295,2180
Visium_GT_IZ_P9,Adipocyte,Low,0.002475157315992417,2181
Visium_GT_IZ_P9,Cardiomyocyte,Low,0.23764605357000132,2181
Visium_GT_IZ_P9,Endothelial,Low,0.14435703960153873,2181
Visium_GT_IZ_P9,Fibroblast,Low,0.2726708793416621,2181
Visium_GT_IZ_P9,Lymphoid,Low,0.013378164448093062,2181
Visium_GT_IZ_P9,Mast,Low,0.007925157255461154,2181
Visium_GT_IZ_P9,Myeloid,Low,0.16774319458948117,2181
Visium_GT_IZ_P9,Neuronal,Low,0.014520048234003885,2181
Visium_GT_IZ_P9,Pericyte,Low,0.028224018472275878,2181
Visium_GT_IZ_P9,Cycling.cells,Low,0.08903812053547212,2181
Visium_GT_IZ_P9,vSMCs,Low,0.022022166636018168,2181
Visium_IZ_P3,Adipocyte,High,0.15202022075745134,1885
Visium_IZ_P3,Cardiomyocyte,High,0.20044578893656192,1885
Visium_IZ_P3,Endothelial,High,0.17984072648734845,1885
Visium_IZ_P3,Fibroblast,High,0.06367327400554318,1885
Visium_IZ_P3,Lymphoid,High,0.021065035438673208,1885
Visium_IZ_P3,Mast,High,0.01336380126590736,1885
Visium_IZ_P3,Myeloid,High,0.06518264764802346,1885
Visium_IZ_P3,Neuronal,High,0.016411820805133592,1885
Visium_IZ_P3,Pericyte,High,0.03074052300637515,1885
Visium_IZ_P3,Cycling.cells,High,0.22732477184148026,1885
Visium_IZ_P3,vSMCs,High,0.02993138980750213,1885
Visium_IZ_P3,Adipocyte,Low,0.1528595726276791,1886
Visium_IZ_P3,Cardiomyocyte,Low,0.19687873101535083,1886
Visium_IZ_P3,Endothelial,Low,0.17455108844151543,1886
Visium_IZ_P3,Fibroblast,Low,0.058032551662615936,1886
Visium_IZ_P3,Lymphoid,Low,0.023676881986586778,1886
Visium_IZ_P3,Mast,Low,0.014034505645561685,1886
Visium_IZ_P3,Myeloid,Low,0.07831597215584574,1886
Visium_IZ_P3,Neuronal,Low,0.016457105001620502,1886
Visium_IZ_P3,Pericyte,Low,0.02628815205731145,1886
Visium_IZ_P3,Cycling.cells,Low,0.23668284510216608,1886
Visium_IZ_P3,vSMCs,Low,0.022222594303746453,1886
