sample,cell_type,spearman_r,p_value
Visium_FZ_P20,Adipocyte,0.03904183767414992,0.0553182150519385
Visium_FZ_P20,Cardiomyocyte,0.2799520910921041,1.219660027950262e-44
Visium_FZ_P20,Endothelial,0.13257374445945652,6.413897969701564e-11
Visium_FZ_P20,Fibroblast,-0.19656459941206553,2.0383203727142223e-22
Visium_FZ_P20,Lymphoid,0.11390379176698956,2.0575402498082028e-08
Visium_FZ_P20,Mast,0.032533736831919534,0.1103254211359571
Visium_FZ_P20,Myeloid,-0.1159758675436828,1.1312170978682686e-08
Visium_FZ_P20,Neuronal,0.14874049507266632,2.1519379693687849e-13
Visium_FZ_P20,Pericyte,0.24111968289136024,3.208132336554691e-33
Visium_FZ_P20,Cycling.cells,-0.01967099870892471,0.33440650620697976
Visium_FZ_P20,vSMCs,-0.10812177148067337,1.0334741676811638e-07
Visium_GT_IZ_P13,Adipocyte,-0.017123996058125736,0.4568686876383
Visium_GT_IZ_P13,Cardiomyocyte,-0.03228263065293554,0.16064772443955894
Visium_GT_IZ_P13,Endothelial,0.034593206659425425,0.1327450597857049
Visium_GT_IZ_P13,Fibroblast,-0.0035057095628167048,0.8789445575188306
Visium_GT_IZ_P13,Lymphoid,0.09105427200128129,7.366618345245847e-05
Visium_GT_IZ_P13,Mast,-0.054169077332744814,0.018516488180208023
Visium_GT_IZ_P13,Myeloid,0.021476664557396753,0.3507325959812764
Visium_GT_IZ_P13,Neuronal,0.1696475563533642,1.1339788797870263e-13
Visium_GT_IZ_P13,Pericyte,0.08244859885874717,0.00033307100781742964
Visium_GT_IZ_P13,Cycling.cells,0.02177017407994628,0.34418666816504084
Visium_GT_IZ_P13,vSMCs,0.018450885134737704,0.4227417053723478
Visium_GT_IZ_P15,Adipocyte,-0.042478516367268675,0.011115793597144158
Visium_GT_IZ_P15,Cardiomyocyte,0.31180949554333676,2.1871370698016776e-81
Visium_GT_IZ_P15,Endothelial,0.21109148111460174,2.897029886470036e-37
Visium_GT_IZ_P15,Fibroblast,-0.0020563706695749208,0.9022190711522192
Visium_GT_IZ_P15,Lymphoid,0.10578035076862015,2.332726229911621e-10
Visium_GT_IZ_P15,Mast,0.1475599758230239,7.679339558357637e-19
Visium_GT_IZ_P15,Myeloid,-0.25001153014538646,4.895215458604097e-52
Visium_GT_IZ_P15,Neuronal,0.144846453840167,3.3244357064758723e-18
Visium_GT_IZ_P15,Pericyte,0.2927463471011323,1.5878226217432161e-71
Visium_GT_IZ_P15,Cycling.cells,-0.2902102380295351,2.8647298228909907e-70
Visium_GT_IZ_P15,vSMCs,0.09241852945764371,3.1405081907055176e-08
Visium_GT_IZ_P9,Adipocyte,0.1162583139269847,1.3460763236724878e-14
Visium_GT_IZ_P9,Cardiomyocyte,0.23671048005978274,1.336183799267396e-56
Visium_GT_IZ_P9,Endothelial,0.14717663193438368,1.5191740861144871e-22
Visium_GT_IZ_P9,Fibroblast,-0.18062518348641535,2.6674036243257464e-33
Visium_GT_IZ_P9,Lymphoid,0.11475300457430454,2.9387023031842144e-14
Visium_GT_IZ_P9,Mast,0.07785893151587975,2.6330704210319975e-07
Visium_GT_IZ_P9,Myeloid,-0.07150426456733004,2.2821329788250924e-06
Visium_GT_IZ_P9,Neuronal,0.1735290747768516,7.926184631998632e-31
Visium_GT_IZ_P9,Pericyte,0.23053021682022928,1.0675642461945227e-53
Visium_GT_IZ_P9,Cycling.cells,-0.08109353672112679,8.205867186820641e-08
Visium_GT_IZ_P9,vSMCs,-0.002470401310456965,0.8704448040931867
Visium_IZ_P3,Adipocyte,0.026274881409993185,0.10669155047569603
Visium_IZ_P3,Cardiomyocyte,0.07438313617046385,4.817658723765424e-06
Visium_IZ_P3,Endothelial,0.02323249055796174,0.15375545513070285
Visium_IZ_P3,Fibroblast,0.031587102844703535,0.05243361334213342
Visium_IZ_P3,Lymphoid,-0.012427826730190059,0.4454930638068635
Visium_IZ_P3,Mast,0.012751889846260868,0.43371740910212947
Visium_IZ_P3,Myeloid,-0.054882170654986316,0.000747182764078592
Visium_IZ_P3,Neuronal,0.0665537595125335,4.311041635694673e-05
Visium_IZ_P3,Pericyte,0.08564093180021609,1.3866105842321575e-07
Visium_IZ_P3,Cycling.cells,-0.057431992063719906,0.00041783671521986016
Visium_IZ_P3,vSMCs,0.05557771663950831,0.0006391089414548302
