cell_type,High,Low,diff
Cardiomyocyte,0.19271442155645147,0.13645401704220889,0.05626040451424258
Endothelial,0.1535698189526166,0.13346781627003798,0.020102002682578612
Pericyte,0.04583683395046643,0.03093468482682509,0.014902149123641337
Neuronal,0.01161330353775667,0.010430438293327756,0.0011828652444289128
Lymphoid,0.02139356579162778,0.020642749596943104,0.000750816194684676
Adipocyte,0.04164751645279034,0.04190719396197413,-0.00025967750918378524
Mast,0.019570482615314556,0.021387816838834586,-0.0018173342235200292
vSMCs,0.02937435425687711,0.03289925332874154,-0.0035248990718644256
Cycling.cells,0.09276889325858702,0.11315509313160044,-0.02038619987301342
Myeloid,0.17649031317222694,0.20693665120004495,-0.030446338027818015
Fibroblast,0.2150204964552851,0.2517842855094615,-0.03676378905417643
