gsm,title,chars,source,library
GSM4665448,,subject status: Patient with hilar cholangiocarcinoma | tissue: liver | cell type: Cell fraction containing tumor cells and other cells from the tumor microenvironment,Human hilar cholangiocarcinoma,RNA-Seq
GSM4665427,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: none | cell type: HSC",quiescent mouse HSC,RNA-Seq
GSM4665428,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: none | cell type: HSC",quiescent mouse HSC,RNA-Seq
GSM4665429,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: none | cell type: HSC",quiescent mouse HSC,RNA-Seq
GSM4665430,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: none | cell type: HSC",quiescent mouse HSC,RNA-Seq
GSM4665431,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: BDL 14 days | cell type: HSC",ouse HSC from 14 day BDL biliary fibrosis model,RNA-Seq
GSM4665432,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: BDL 14 days | cell type: HSC",ouse HSC from 14 day BDL biliary fibrosis model,RNA-Seq
GSM4665433,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: BDL 14 days | cell type: HSC",ouse HSC from 14 day BDL biliary fibrosis model,RNA-Seq
GSM4665434,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: BDL 14 days | cell type: HSC",ouse HSC from 14 day BDL biliary fibrosis model,RNA-Seq
GSM4665435,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: DDC 3 weeks | cell type: HSC",Mouse HSC from 3 week DDC diet biliary fibrosis model,RNA-Seq
GSM4665436,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: DDC 3 weeks | cell type: HSC",Mouse HSC from 3 week DDC diet biliary fibrosis model,RNA-Seq
GSM4665437,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: DDC 3 weeks | cell type: HSC",Mouse HSC from 3 week DDC diet biliary fibrosis model,RNA-Seq
GSM4665438,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+ | tissue: liver | liver damage: DDC 3 weeks | cell type: HSC",Mouse HSC from 3 week DDC diet biliary fibrosis model,RNA-Seq
GSM4665439,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+, Col1a1-GFP | tissue: liver | liver damage: CCA model induced by hydrodynamic tail vein injection of YAP/AKT/SB13 plasmids, isolation 6 weeks later | cell type: HSC-CAF",Mouse HSC-derived CAF from CCA model induced by YAP/AKT,RNA-Seq
GSM4665440,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+, Col1a1-GFP | tissue: liver | liver damage: CCA model induced by hydrodynamic tail vein injection of YAP/AKT/SB13 plasmids, isolation 6 weeks later | cell type: HSC-CAF",Mouse HSC-derived CAF from CCA model induced by YAP/AKT,RNA-Seq
GSM4665441,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+, Col1a1-GFP | tissue: liver | liver damage: CCA model induced by hydrodynamic tail vein injection of YAP/AKT/SB13 plasmids, isolation 6 weeks later | cell type: HSC-CAF",Mouse HSC-derived CAF from CCA model induced by YAP/AKT,RNA-Seq
GSM4665442,,"strain background: C57BL/6 | genotype/variation: LratCre+, TdTom+, Col1a1-GFP | tissue: liver | liver damage: CCA model induced by hydrodynamic tail vein injection of YAP/AKT/SB13 plasmids, isolation 6 weeks later | cell type: HSC-CAF",Mouse HSC-derived CAF from CCA model induced by YAP/AKT,RNA-Seq
