gene,rho,p
GPX4,0.1308064862021843,0.02061847992537356
SLC7A11,-0.1832998608400004,0.0011236896722326907
ACSL4,-0.13642923894038034,0.015721118596391446
LPCAT3,-0.030917704627030848,0.5858003978856006
FTH1,-0.10832212800528462,0.055571223108903514
FTL,-0.2637164430802393,2.234554817677786e-06
NCOA4,0.2975711179604059,8.070756200839907e-08
KEAP1,0.2530589227797929,5.810910884503264e-06
NFE2L2,-0.27623651251579046,6.887827305324474e-07
HMOX1,-0.08928154932509746,0.11493786292518077
SAT1,-0.32595607928832726,3.510487762848642e-09
