sample_id,ferroptosis_score
ID_REF,17.6636118818631
GSM1379812,-0.0564332837051828
GSM1379813,-0.056433716979075
GSM1379814,-0.0564342189232665
GSM1379815,-0.0564298556272506
GSM1379816,-0.0564330724305626
GSM1379817,-0.0564336157408614
GSM1379818,-0.0564331851134293
GSM1379819,-0.0564336474598711
GSM1379820,-0.0564338850996032
GSM1379821,-0.0564337578344056
GSM1379822,-0.0564335355928323
GSM1379823,-0.05643355924532
GSM1379824,-0.056433434487318
GSM1379825,-0.0564339394237071
GSM1379826,-0.056433269417368
GSM1379827,-0.0564335651879879
GSM1379828,-0.0564337640818555
GSM1379829,-0.0564334895923817
GSM1379830,-0.0564334670684071
GSM1379831,-0.0564328153771645
GSM1379832,-0.0564323220172572
GSM1379833,-0.0564331863187465
GSM1379834,-0.0564333955807833
GSM1379835,-0.0564331913997756
GSM1379836,-0.0564320022611864
GSM1379837,-0.0564337191622559
GSM1379838,-0.0564331319772441
GSM1379839,-0.0564334256676261
GSM1379840,-0.0564325705701171
GSM1379841,-0.05643301277579
GSM1379842,-0.0564337034736297
GSM1379843,-0.0564333669605634
GSM1379844,-0.0564335614430636
GSM1379845,-0.056433627009451
GSM1379846,-0.0564331948763028
GSM1379847,-0.0564321311657144
GSM1379848,-0.0564337419927675
GSM1379849,-0.0564338933983183
GSM1379850,-0.0564327735744909
GSM1379851,-0.0564338456211228
GSM1379852,-0.0564333827514058
GSM1379853,-0.0564330424082988
GSM1379854,-0.056432941216463
GSM1379855,-0.0564333126322849
GSM1379856,-0.0564335965997449
GSM1379857,-0.0564325946239648
GSM1379858,-0.0564322617330001
GSM1379859,-0.056432263619031
GSM1379860,-0.0564328053751878
GSM1379861,-0.056432839769994
GSM1379862,-0.0564313647904633
GSM1379863,-0.056434098827911
GSM1379864,-0.0564322944907256
GSM1379865,-0.0564330432004642
GSM1379866,-0.0564332365922937
GSM1379867,-0.0564332490095159
GSM1379868,-0.0564331162411818
GSM1379869,-0.0564325333432539
GSM1379870,-0.0564320989520592
GSM1379871,-0.0564325343286783
GSM1379872,-0.0564334505718082
GSM1379873,-0.0564336745067209
GSM1379874,-0.056431632624331
GSM1379875,-0.056433611949449
GSM1379876,-0.0564336971339556
GSM1379877,-0.0564331348053047
GSM1379878,-0.0564321095728108
GSM1379879,-0.0564331031365614
GSM1379880,-0.0564326307853866
GSM1379881,-0.0564329787153581
GSM1379882,-0.0564328048404487
GSM1379883,-0.0564330390645502
GSM1379884,-0.0564329792686765
GSM1379885,-0.0564321419545683
GSM1379886,-0.0564333201410967
GSM1379887,-0.0564322972075924
GSM1379888,-0.0564332967775719
GSM1379889,-0.0564331203756214
GSM1379890,-0.0564332897673103
GSM1379891,-0.0564332263916953
GSM1379892,-0.0564332274970793
GSM1379893,-0.0564330218740201
GSM1379894,-0.0564329553027205
GSM1379895,-0.0564327223792168
GSM1379896,-0.0564336181639948
GSM1379897,-0.0564326730143
GSM1379898,-0.0564333895338989
GSM1379899,-0.0564332901741547
GSM1379900,-0.0564331799810123
GSM1379901,-0.0564327374102364
GSM1379902,-0.056433912184172
GSM1379903,-0.0564329567344055
GSM1379904,-0.0564334227115624
GSM1379905,-0.0564336917142421
GSM1379906,-0.0564323793381392
GSM1379907,-0.0564321537621255
GSM1379908,-0.0564325064364422
GSM1379909,-0.0564328097318218
GSM1379910,-0.0564330196769843
GSM1379911,-0.0564318360232503
GSM1379912,-0.056433227711354
GSM1379913,-0.0564332291978337
GSM1379914,-0.056433778603227
GSM1379915,-0.0564332013174952
GSM1379916,-0.0564337432813754
GSM1379917,-0.0564331271991047
GSM1379918,-0.0564333247923179
GSM1379919,-0.0564330050856712
GSM1379920,-0.0564332731974082
GSM1379921,-0.0564329540478211
GSM1379922,-0.0564324138676742
GSM1379923,-0.0564333967759042
GSM1379924,-0.0564333702078253
GSM1379925,-0.0564324975373725
GSM1379926,-0.0564318908174678
GSM1379927,-0.0564308391895734
GSM1379928,-0.0564328976918184
GSM1379929,-0.0564328325695478
GSM1379930,-0.0564336275331207
GSM1379931,-0.0564334939447254
GSM1379932,-0.0564338355456848
GSM1379933,-0.056432858292892
GSM1379934,-0.0564340817003906
GSM1379935,-0.056433740841592
GSM1379936,-0.0564337683895477
GSM1379937,-0.0564334509358607
GSM1379938,-0.0564323768703559
GSM1379939,-0.0564334003079132
GSM1379940,-0.0564332476428301
GSM1379941,-0.0564326881039515
GSM1379942,-0.0564335481955403
GSM1379943,-0.0564335728021931
GSM1379944,-0.0564334925610165
GSM1379945,-0.0564338877275014
GSM1379946,-0.056432475456564
GSM1379947,-0.0564333370007698
GSM1379948,-0.0564334305251854
GSM1379949,-0.0564337909661706
GSM1379950,-0.0564332746732442
GSM1379951,-0.0564325685839439
GSM1379952,-0.0564318471626084
GSM1379953,-0.0564332392073556
GSM1379954,-0.0564336140867074
GSM1379955,-0.0564337742355653
GSM1379956,-0.0564337798636563
GSM1379957,-0.056433808637703
GSM1379958,-0.0564336549845729
GSM1379959,-0.0564323674046516
GSM1379960,-0.056434036087308
GSM1379961,-0.0564335359933353
GSM1379962,-0.0564328224278068
GSM1379963,-0.0564328813166793
GSM1379964,-0.0564333833848464
GSM1379965,-0.0564337123541689
GSM1379966,-0.0564320366780075
GSM1379967,-0.0564328791552504
GSM1379968,-0.0564329049285433
GSM1379969,-0.0564308519209002
GSM1379970,-0.0564331918437243
GSM1379971,-0.056433004572543
GSM1379972,-0.0564335381292229
GSM1379973,-0.0564335709228183
GSM1379974,-0.0564318661701852
GSM1379975,-0.0564333085511992
GSM1379976,-0.0564323621539919
GSM1379977,-0.0564326384631436
GSM1379978,-0.0564326724863866
GSM1379979,-0.0564339041009108
GSM1379980,-0.0564330788476563
GSM1379981,-0.0564332733910898
GSM1379982,-0.0564334624754288
GSM1379983,-0.056432390746426
GSM1379984,-0.0564333496705385
GSM1379985,-0.0564318295018597
GSM1379986,-0.0564332117962007
GSM1379987,-0.05643290594021
GSM1379988,-0.0564334355995318
GSM1379989,-0.0564330767826253
GSM1379990,-0.0564335813047464
GSM1379991,-0.0564337250847914
GSM1379992,-0.0564331009245809
GSM1379993,-0.0564330229483783
GSM1379994,-0.0564335848024516
GSM1379995,-0.0564339867304233
GSM1379996,-0.0564313922602362
GSM1379997,-0.0564332869634113
GSM1379998,-0.0564335375819343
GSM1379999,-0.0564332416147019
GSM1380000,-0.0564332908111353
GSM1380001,-0.0564330235805314
GSM1380002,-0.0564336658637145
GSM1380003,-0.0564338488819672
GSM1380004,-0.0564335845073924
GSM1380005,-0.0564335370759424
GSM1380006,-0.0564334937211996
GSM1380007,-0.0564336785855397
GSM1380008,-0.0564339514342546
GSM1380009,-0.0564335987225981
GSM1380010,-0.056433280771416
GSM1380011,-0.0564336299651451
GSM1380012,-0.0564330328202376
GSM1380013,-0.0564334532621795
GSM1380014,-0.0564329119345171
GSM1380015,-0.0564331545995748
GSM1380016,-0.0564336741695727
GSM1380017,-0.0564335922325304
GSM1380018,-0.0564317631364434
GSM1380019,-0.0564338233275665
GSM1380020,-0.0564336706982103
GSM1380021,-0.0564336511214058
GSM1380022,-0.0564335894191514
GSM1380023,-0.0564328585793232
GSM1380024,-0.0564336821124661
GSM1380025,-0.0564338207920445
GSM1380026,-0.0564338779764074
GSM1380027,-0.0564335616950792
GSM1380028,-0.0564335698459505
GSM1380029,-0.0564335303067602
GSM1380030,-0.0564337680537613
GSM1380031,-0.0564336188930348
GSM1380032,-0.0564336410070068
GSM1380033,-0.0564333692788167
GSM1380034,-0.0564336914672256
GSM1380035,-0.0564336550027054
GSM1380036,-0.0564332325992314
GSM1380037,-0.0564335926398351
GSM1380038,-0.0564340411258429
GSM1380039,-0.0564335969860429
GSM1380040,-0.0564336210125037
GSM1380041,-0.0564328514171795
GSM1380042,-0.0564331562808116
GSM1380043,-0.0564337911260012
GSM1380044,-0.0564341421914648
GSM1380045,-0.0564342740494743
GSM1380046,-0.0564333625902099
GSM1380047,-0.0564333557420153
GSM1380048,-0.0564341185468892
GSM1380049,-0.0564337185238802
GSM1380050,-0.0564338991188423
GSM1380051,-0.0564329808601556
GSM1380052,-0.0564338063518306
GSM1380053,-0.0564337077201131
GSM1380054,-0.0564339515844292
GSM1380055,-0.0564341932388648
GSM1380056,-0.0564339429624783
GSM1380057,-0.0564339366506007
GSM1380058,-0.0564326357748494
GSM1380059,-0.0564333382683462
GSM1380060,-0.0564335745390042
GSM1380061,-0.0564334146107722
GSM1380062,-0.0564337887444267
GSM1380063,-0.0564335979269218
GSM1380064,-0.0564334529635284
GSM1380065,-0.0564335631223987
GSM1380066,-0.0564334096835387
GSM1380067,-0.056433911516604
GSM1380068,-0.0564333402841387
GSM1380069,-0.0564329700519823
GSM1380070,-0.0564337368125986
GSM1380071,-0.0564339549786855
GSM1380072,-0.0564327606431564
GSM1380073,-0.0564336272265202
GSM1380074,-0.056432273805472
GSM1380075,-0.0564342126980695
GSM1380076,-0.0564342073780457
GSM1380077,-0.0564336504891642
GSM1380078,-0.0564337194977272
GSM1380079,-0.0564339875735711
GSM1380080,-0.056433660436957
GSM1380081,-0.0564330070635638
GSM1380082,-0.0564332118606362
GSM1380083,-0.0564337880431364
GSM1380084,-0.0564337904277636
GSM1380085,-0.0564339191856636
GSM1380086,-0.0564334574009959
GSM1380087,-0.0564333765809545
GSM1380088,-0.0564339897489354
GSM1380089,-0.0564330064525937
GSM1380090,-0.0564337913362451
GSM1380091,-0.0564339660190424
GSM1380092,-0.0564340330798069
GSM1380093,-0.0564330068726124
GSM1380094,-0.0564332876276924
GSM1380095,-0.056432971932174
GSM1380096,-0.056433613631389
GSM1380097,-0.0564335513211965
GSM1380098,-0.0564338686273007
GSM1380099,-0.0564334438758032
GSM1380100,-0.0564335561055835
GSM1380101,-0.0564333079046896
GSM1380102,-0.0564339172561307
GSM1380103,-0.0564331646880815
GSM1380104,-0.0564337946692684
GSM1380105,-0.0564337681175916
GSM1380106,-0.0564336481423619
GSM1380107,-0.0564340075382237
GSM1380108,-0.056433145561741
GSM1380109,-0.0564337721454169
GSM1380110,-0.0564339411569117
GSM1380111,-0.0564335877248157
GSM1380112,-0.056433833148376
GSM1380113,-0.0564339551875797
GSM1380114,-0.0564330895667694
GSM1380115,-0.0564329655675519
GSM1380116,-0.0564328231804097
GSM1380117,-0.0564331749155864
GSM1380118,-0.0564335486931459
GSM1380119,-0.0564331297738066
GSM1380120,-0.0564338332146657
GSM1380121,-0.0564335949424081
GSM1380122,-0.0564331295250563
GSM1380123,-0.0564321550794909
GSM1380124,-0.0564332057146224
