sample_id,positive_score,negative_score,composite_score
ID_REF,17.6636118818633,17.6636118818655,-2.21334062189271e-12
GSM1379812,-0.056433604792765,-0.0564328633516553,-7.41441109702867e-07
GSM1379813,-0.0564335146565249,-0.056433527384921,1.27283961703917e-08
GSM1379814,-0.0564342553040631,-0.0564336806939141,-5.74610149045585e-07
GSM1379815,-0.0564307276040029,-0.0564303770916335,-3.50512369351463e-07
GSM1379816,-0.056432807198499,-0.056433272219212,4.65020712998865e-07
GSM1379817,-0.0564338369727711,-0.0564334697332054,-3.67239565715605e-07
GSM1379818,-0.0564339137086166,-0.0564328767674655,-1.03694115106967e-06
GSM1379819,-0.0564340089202026,-0.0564330239818594,-9.84938343231989e-07
GSM1379820,-0.0564336630916673,-0.0564337550024221,9.1910754854152e-08
GSM1379821,-0.0564337835628387,-0.0564335303370337,-2.53225804984492e-07
GSM1379822,-0.056433653039372,-0.0564335245249395,-1.28514432463922e-07
GSM1379823,-0.0564337171119055,-0.0564334178270145,-2.99284891022711e-07
GSM1379824,-0.0564337057292839,-0.0564331221319636,-5.83597320295837e-07
GSM1379825,-0.0564341202478133,-0.056433329409212,-7.90838601320842e-07
GSM1379826,-0.0564333731725854,-0.0564330342842418,-3.388883436789e-07
GSM1379827,-0.0564337272840419,-0.056433257531496,-4.69752545959046e-07
GSM1379828,-0.0564336857483407,-0.0564334065000311,-2.79248309621727e-07
GSM1379829,-0.0564337761320925,-0.0564331935727203,-5.82559372214186e-07
GSM1379830,-0.0564334920933622,-0.0564331387622614,-3.53331100808041e-07
GSM1379831,-0.0564327568844263,-0.0564330060710833,2.49186657003131e-07
GSM1379832,-0.0564327389927749,-0.0564325923582742,-1.46634500673704e-07
GSM1379833,-0.0564328849578066,-0.056433231411629,3.46453822373805e-07
GSM1379834,-0.0564330783572383,-0.0564335910122824,5.12655044124233e-07
GSM1379835,-0.0564329804836191,-0.0564331941144276,2.13630808494625e-07
GSM1379836,-0.0564327896675167,-0.0564320543278135,-7.35339703197835e-07
GSM1379837,-0.0564328301359795,-0.0564334598580571,6.29722077677419e-07
GSM1379838,-0.0564335572528831,-0.0564331288820633,-4.28370819774426e-07
GSM1379839,-0.0564327335090378,-0.0564335485979484,8.15088910650907e-07
GSM1379840,-0.0564323218379868,-0.0564329299972309,6.08159244082362e-07
GSM1379841,-0.0564325479155472,-0.0564329988266918,4.5091114461715e-07
GSM1379842,-0.0564336076288756,-0.0564334819578942,-1.25670981419856e-07
GSM1379843,-0.056433245746333,-0.0564333593548098,1.13608476806637e-07
GSM1379844,-0.0564332233438119,-0.0564333178323897,9.44885777606763e-08
GSM1379845,-0.0564328982900266,-0.056433627267504,7.28977477451598e-07
GSM1379846,-0.0564328874488204,-0.0564335615587524,6.74109932000122e-07
GSM1379847,-0.0564326971881181,-0.0564329178970218,2.20708903750366e-07
GSM1379848,-0.0564331118600717,-0.0564336219514948,5.10091423155945e-07
GSM1379849,-0.0564331908295495,-0.0564334330320943,2.42202544825654e-07
GSM1379850,-0.0564328837765799,-0.05643269890288,-1.84873699890509e-07
GSM1379851,-0.0564334016005534,-0.0564337436607079,3.42060154499835e-07
GSM1379852,-0.056432967467707,-0.0564333206504434,3.53182736397006e-07
GSM1379853,-0.0564336567892258,-0.0564330321257204,-6.24663505359446e-07
GSM1379854,-0.0564327618011999,-0.0564332591748134,4.97373613572716e-07
GSM1379855,-0.0564330916377333,-0.0564336174939486,5.25856215308207e-07
GSM1379856,-0.0564333180109941,-0.0564332493331375,-6.8677856554511e-08
GSM1379857,-0.0564319280549333,-0.056432980018206,1.05196327274126e-06
GSM1379858,-0.0564321968381339,-0.0564331903793064,9.93541172542023e-07
GSM1379859,-0.0564322135668282,-0.0564329381390648,7.24572236619758e-07
GSM1379860,-0.0564333230303435,-0.056432779780722,-5.43249621530462e-07
GSM1379861,-0.0564325036814704,-0.0564331723616058,6.68680135373911e-07
GSM1379862,-0.0564321970280972,-0.0564320000239096,-1.97004187595107e-07
GSM1379863,-0.0564340393633319,-0.0564335466313526,-4.9273197937072e-07
GSM1379864,-0.0564318929107827,-0.0564331352593348,1.24234855210931e-06
GSM1379865,-0.0564325242553412,-0.056433496853048,9.72597706809519e-07
GSM1379866,-0.0564327364275895,-0.0564335365861752,8.00158585709254e-07
GSM1379867,-0.0564324269340892,-0.0564334230591776,9.96125088310873e-07
GSM1379868,-0.0564331270543703,-0.0564326210518589,-5.06002511356518e-07
GSM1379869,-0.0564326623269496,-0.056432530176184,-1.32150765608241e-07
GSM1379870,-0.056432220329677,-0.0564326219237894,4.01594112367509e-07
GSM1379871,-0.0564329343585449,-0.0564326077818926,-3.26576652311117e-07
GSM1379872,-0.0564326693189119,-0.0564335451748286,8.75855916696033e-07
GSM1379873,-0.0564332373468899,-0.0564336223610639,3.85014173959197e-07
GSM1379874,-0.0564312243880502,-0.0564333170429171,2.09265486689203e-06
GSM1379875,-0.0564336100317638,-0.0564332120862851,-3.979454786876e-07
GSM1379876,-0.0564333959190746,-0.0564335111108601,1.15191785457491e-07
GSM1379877,-0.0564329663652014,-0.0564331776797918,2.11314590436995e-07
GSM1379878,-0.0564323023228407,-0.0564326199130328,3.17590192033812e-07
GSM1379879,-0.0564329705788433,-0.0564333418283158,3.71249472504165e-07
GSM1379880,-0.0564322449205837,-0.0564328183563177,5.7343573402896e-07
GSM1379881,-0.0564323956017039,-0.0564334423498308,1.04674812687056e-06
GSM1379882,-0.0564325256412744,-0.0564331926210746,6.66979800216516e-07
GSM1379883,-0.0564326719280841,-0.0564333253245342,6.5339645015372e-07
GSM1379884,-0.056432345515785,-0.056433200829593,8.55313807966718e-07
GSM1379885,-0.056431823733231,-0.0564326558922119,8.32158980834663e-07
GSM1379886,-0.0564331972156769,-0.0564332464262664,4.92105894853157e-08
GSM1379887,-0.0564322687421351,-0.056433265802054,9.97059918926568e-07
GSM1379888,-0.0564331327295963,-0.0564333026820077,1.69952411407937e-07
GSM1379889,-0.0564330049335962,-0.0564328907553779,-1.14178218310612e-07
GSM1379890,-0.0564334094750731,-0.0564332138052801,-1.95669793000286e-07
GSM1379891,-0.0564330226343174,-0.0564332993751881,2.76740870691627e-07
GSM1379892,-0.0564332225584407,-0.0564331817447361,-4.08137045895818e-08
GSM1379893,-0.056432689759937,-0.0564335998929451,9.1013300810433e-07
GSM1379894,-0.056433594300088,-0.0564328072294976,-7.87070590424488e-07
GSM1379895,-0.0564323235154907,-0.0564333085981853,9.8508269468639e-07
GSM1379896,-0.0564332870623264,-0.0564332381600535,-4.89022729463495e-08
GSM1379897,-0.056432754373541,-0.0564329982752629,2.43901721867779e-07
GSM1379898,-0.0564338143765716,-0.0564330340037196,-7.80372851942601e-07
GSM1379899,-0.0564333102899831,-0.0564332109631266,-9.93268565382954e-08
GSM1379900,-0.0564331683399714,-0.0564328137881547,-3.54551816697524e-07
GSM1379901,-0.0564318070385487,-0.0564337647588828,1.95772033402541e-06
GSM1379902,-0.056433223315986,-0.0564335304181169,3.07102130878145e-07
GSM1379903,-0.056432921086632,-0.056433212265331,2.91178698964834e-07
GSM1379904,-0.0564335935124918,-0.0564332599067506,-3.33605741191512e-07
GSM1379905,-0.0564335188807803,-0.0564336046395812,8.57588008523758e-08
GSM1379906,-0.0564328069257221,-0.0564326104259624,-1.96499759685942e-07
GSM1379907,-0.0564327021052085,-0.0564327197585835,1.76533750187446e-08
GSM1379908,-0.0564326943181628,-0.0564326047508523,-8.95673104781003e-08
GSM1379909,-0.0564328577358533,-0.0564331335153286,2.75779475339411e-07
GSM1379910,-0.0564330981932292,-0.056432778030382,-3.20162847199101e-07
GSM1379911,-0.0564321243930049,-0.0564327585754767,6.34182471787037e-07
GSM1379912,-0.0564327927978783,-0.0564331536148066,3.60816928210439e-07
