gene,rho,p_value
GPX4,0.0788100864171794,0.164262292087905
SLC7A11,-0.230162576992064,3.9390530441047e-05
FTH1,-0.113743247500458,0.0443463337571471
FTL,-0.387933700976599,1.10775007116254e-12
NCOA4,0.314873706624007,1.24185186613164e-08
ACSL4,-0.198936524505743,0.000398732746460568
LPCAT3,-0.0098389515528758,0.862355436619794
ALOX15,-0.109066538265972,0.0539026723607569
SAT1,-0.360124914622383,5.11921035342713e-11
NFE2L2,-0.338834381788601,7.57501945237236e-10
SLC25A28,0.0137041082988108,0.809174025094547
KEAP1,0.297254418372628,8.3426519085529e-08
GSS,0.196422982582934,0.00047355768762277
GCLC,-0.197233824806548,0.000448103081627819
