cell_id,ndufb7_expression,cell_type
SC_92563_0_69,0,N_LA_NCM
SC_92563_0_17,0,N_LA_NCM
SC_92563_0_23,2,N_LA_NCM
SC_92563_0_12,35,N_LA_NCM
SC_92563_0_18,1,N_LA_NCM
SC_92563_0_19,10,N_LA_NCM
SC_92563_0_20,0,N_LA_NCM
SC_92563_0_14,11,N_LA_NCM
SC_92563_1_45,21,N_LA_NCM
SC_92563_1_46,51,N_LA_NCM
SC_92563_2_64,20,N_LA_NCM
SC_92563_2_70,0,N_LA_NCM
SC_92563_1_42,0,N_LA_NCM
SC_92563_2_71,0,N_LA_NCM
SC_92563_1_44,0,N_LA_NCM
SC_92563_2_15,0,N_LA_NCM
SC_92563_2_16,15,N_LA_NCM
SC_92563_2_22,34,N_LA_NCM
SC_92563_3_39,3,N_LA_NCM
SC_92563_3_36,0,N_LA_NCM
SC_92563_3_42,24,N_LA_NCM
SC_92563_2_13,2,N_LA_NCM
SC_92563_3_43,0,N_LA_NCM
SC_92563_3_38,9,N_LA_NCM
SC_92563_4_70,0,N_LA_NCM
SC_92563_4_22,5,N_LA_NCM
SC_92563_4_66,0,N_LA_NCM
SC_92563_4_19,0,N_LA_NCM
SC_92563_0_41,18,N_LA_NCM
SC_92563_1_71,0,N_LA_NCM
SC_92563_0_44,0,N_LA_NCM
SC_92563_0_38,0,N_LA_NCM
SC_92563_1_61,0,N_LA_NCM
SC_92563_2_40,0,N_LA_NCM
SC_92563_2_46,1,N_LA_NCM
SC_92563_2_41,3,N_LA_NCM
SC_92563_1_13,0,N_LA_NCM
SC_92563_2_44,0,N_LA_NCM
SC_92563_2_38,0,N_LA_NCM
SC_92563_3_63,0,N_LA_NCM
SC_92563_3_64,1,N_LA_NCM
SC_92563_3_70,0,N_LA_NCM
SC_92563_3_15,9,N_LA_NCM
SC_92563_3_65,0,N_LA_NCM
SC_92563_3_66,0,N_LA_NCM
SC_92563_3_23,0,N_LA_NCM
SC_92563_3_12,0,N_LA_NCM
SC_92563_3_67,0,N_LA_NCM
SC_92563_3_62,0,N_LA_NCM
SC_92563_4_41,5,N_LA_NCM
SC_92563_5_60,0,N_LA_NCM
SC_92563_0_9,6,N_LA_CM
SC_92563_0_10,7,N_LA_CM
SC_92563_0_2,16,N_LA_CM
SC_92563_2_51,10,N_LA_CM
SC_92563_2_54,8,N_LA_CM
SC_92563_1_31,0,N_LA_CM
SC_92563_2_55,24,N_LA_CM
SC_92563_2_4,38,N_LA_CM
SC_92563_2_10,3,N_LA_CM
SC_92563_3_34,6,N_LA_CM
SC_92563_2_5,21,N_LA_CM
SC_92563_3_29,1,N_LA_CM
SC_92563_2_7,20,N_LA_CM
SC_92563_3_31,10,N_LA_CM
SC_92563_4_0,0,N_LA_CM
SC_92563_4_1,16,N_LA_CM
SC_92563_0_33,5,N_LA_CM
SC_92563_0_27,13,N_LA_CM
SC_92563_0_34,27,N_LA_CM
SC_92563_0_29,12,N_LA_CM
SC_92563_1_55,15,N_LA_CM
SC_92563_1_9,13,N_LA_CM
SC_92563_1_4,81,N_LA_CM
SC_92563_1_6,23,N_LA_CM
SC_92563_2_24,11,N_LA_CM
SC_92563_2_30,3,N_LA_CM
SC_92563_1_8,2,N_LA_CM
SC_92563_2_31,15,N_LA_CM
SC_92563_2_26,1,N_LA_CM
SC_92563_3_52,75,N_LA_CM
SC_92563_3_4,11,N_LA_CM
SC_92563_3_11,6,N_LA_CM
SC_92563_3_7,19,N_LA_CM
SC_92563_4_24,1,N_LA_CM
SC_92563_4_30,14,N_LA_CM
SC_92563_4_31,7,N_LA_CM
SC_92563_5_45,25,N_LA_NCM
SC_92563_6_64,0,N_LA_NCM
SC_92563_6_71,0,N_LA_NCM
SC_92563_6_68,0,N_LA_NCM
SC_92563_6_62,0,N_LA_NCM
SC_92563_7_46,2,N_LA_NCM
SC_92563_6_12,0,N_LA_NCM
SC_92563_6_19,0,N_LA_NCM
