"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","extract_protocol_ch1.2","taxid_ch1","description","description.1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","data_processing.6","data_processing.7","data_processing.8","data_processing.9","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","supplementary_file_2","supplementary_file_3","cell type:ch1","genotype/variation:ch1","liver damage:ch1","strain background:ch1","strain:ch1","tissue:ch1","Disease_Group"
"GSM4665427","RSB19_quiescent mouse HSC","GSM4665427","Public on Apr 28 2021","Jul 10 2020","May 22 2023","SRA","1","quiescent mouse HSC","Mus musculus","strain background: C57BL/6","genotype/variation: LratCre+, TdTom+","tissue: liver","liver damage: none","cell type: HSC","Biliary liver fibrosis was induced in eight-week-old mice subjected to ligation of the common bile duct and mice were sacrificed 14 days after. Cholestatic liver fibrosis was induced in mice treated with diet containing 0.1% 3,5-diethoxycarbonyl-1,4-dihydrocollidine (DDC) for three weeks. CCA was induced by co-injection of YAP/AKT/SB13 or KRAS/sg-p19/SB13 plasmids hydrodinamic tail vein injection and mice were sacrificed 6weeks after.","total RNA","HSC,CAF and whole tumor specipments were obtained perfusing and digesting the liver, followed by FACS sorting.","BULK RNA Seq: Constructed libraries using Illumina TruSeq RNA Preparation Kit according to the manufacturer’s instructions.","scRNA-seq: Single-cell RNA-seq libraries were prepared using the Chromium Single Cell 3′ v2 (RS013) and v3 (RS030, AJ064) Reagent Kit (10x Genomics) according to manufacturer’s instructions, 12 cycles of cDNA amplification and 12 cycles of library amplification were performed, and samples were sequenced on an Illumina NovaSeq 6000 at the JP Sulzberger Columbia Genome Center.","10090","ultra-pure HSC","processed data file: tpm_values_genes_kallisto RSB19-26 32-36 43-46.txt","bulk RNA-seq:","20M paired-end 100bp sequencing was performed using the Illumina NovaSeq 6000","RTA (Illumina) was used for base calling and bcl2fastq2 (version 2.19) for converting BCL to fastq format, coupled with adaptor trimming.","A pseudoalignment to a kallisto index was created from transcriptomes (Human: GRCh38; Mouse: GRCm38) using kallisto (0.44.0).","Differentially expressed genes were tested using DESeq2. Normalization was done internally using DESeq2's specialized algorithm and normalization to compare across samples, was performed using the TPM (transcripts per million) method","scRNA-seq:","10x genomics' cellranger pipeline was used to process the data (RS013 v2.1.1; RS030 and AJ064 v3.1.0).","BCL files were demultiplexed with 10x Cell Ranger's mkfastq command and analysis and alignment were performed using Cell Ranger's count command with Cell Ranger's reference mm10 (mouse) or hg38 (human).","Genome_build: mm10; hg38","Supplementary_files_format_and_content: text files includeTPM values for each Sample; raw counts in MatrixMarket (mtx) format","GPL24247","Robert,F,Schwabe","rfs2102@cumc.columbia.edu","Medicine","Columbia University","1130 ST NICHOLAS AVE - ROOM 916B","NEW YORK","NY","10032","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15502301","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8706456","NONE","","","HSC","LratCre+, TdTom+","none","C57BL/6",NA,"liver","Control"
"GSM4665428","RSB20_quiescent mouse HSC","GSM4665428","Public on Apr 28 2021","Jul 10 2020","May 22 2023","SRA","1","quiescent mouse HSC","Mus musculus","strain background: C57BL/6","genotype/variation: LratCre+, TdTom+","tissue: liver","liver damage: none","cell type: HSC","Biliary liver fibrosis was induced in eight-week-old mice subjected to ligation of the common bile duct and mice were sacrificed 14 days after. Cholestatic liver fibrosis was induced in mice treated with diet containing 0.1% 3,5-diethoxycarbonyl-1,4-dihydrocollidine (DDC) for three weeks. CCA was induced by co-injection of YAP/AKT/SB13 or KRAS/sg-p19/SB13 plasmids hydrodinamic tail vein injection and mice were sacrificed 6weeks after.","total RNA","HSC,CAF and whole tumor specipments were obtained perfusing and digesting the liver, followed by FACS sorting.","BULK RNA Seq: Constructed libraries using Illumina TruSeq RNA Preparation Kit according to the manufacturer’s instructions.","scRNA-seq: Single-cell RNA-seq libraries were prepared using the Chromium Single Cell 3′ v2 (RS013) and v3 (RS030, AJ064) Reagent Kit (10x Genomics) according to manufacturer’s instructions, 12 cycles of cDNA amplification and 12 cycles of library amplification were performed, and samples were sequenced on an Illumina NovaSeq 6000 at the JP Sulzberger Columbia Genome Center.","10090","ultra-pure HSC","processed data file: tpm_values_genes_kallisto RSB19-26 32-36 43-46.txt","bulk RNA-seq:","20M paired-end 100bp sequencing was performed using the Illumina NovaSeq 6000","RTA (Illumina) was used for base calling and bcl2fastq2 (version 2.19) for converting BCL to fastq format, coupled with adaptor trimming.","A pseudoalignment to a kallisto index was created from transcriptomes (Human: GRCh38; Mouse: GRCm38) using kallisto (0.44.0).","Differentially expressed genes were tested using DESeq2. Normalization was done internally using DESeq2's specialized algorithm and normalization to compare across samples, was performed using the TPM (transcripts per million) method","scRNA-seq:","10x genomics' cellranger pipeline was used to process the data (RS013 v2.1.1; RS030 and AJ064 v3.1.0).","BCL files were demultiplexed with 10x Cell Ranger's mkfastq command and analysis and alignment were performed using Cell Ranger's count command with Cell Ranger's reference mm10 (mouse) or hg38 (human).","Genome_build: mm10; hg38","Supplementary_files_format_and_content: text files includeTPM values for each Sample; raw counts in MatrixMarket (mtx) format","GPL24247","Robert,F,Schwabe","rfs2102@cumc.columbia.edu","Medicine","Columbia University","1130 ST NICHOLAS AVE - ROOM 916B","NEW YORK","NY","10032","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15502300","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8706457","NONE","","","HSC","LratCre+, TdTom+","none","C57BL/6",NA,"liver","Control"
"GSM4665429","RSB21_quiescent mouse HSC","GSM4665429","Public on Apr 28 2021","Jul 10 2020","May 22 2023","SRA","1","quiescent mouse HSC","Mus musculus","strain background: C57BL/6","genotype/variation: LratCre+, TdTom+","tissue: liver","liver damage: none","cell type: HSC","Biliary liver fibrosis was induced in eight-week-old mice subjected to ligation of the common bile duct and mice were sacrificed 14 days after. Cholestatic liver fibrosis was induced in mice treated with diet containing 0.1% 3,5-diethoxycarbonyl-1,4-dihydrocollidine (DDC) for three weeks. CCA was induced by co-injection of YAP/AKT/SB13 or KRAS/sg-p19/SB13 plasmids hydrodinamic tail vein injection and mice were sacrificed 6weeks after.","total RNA","HSC,CAF and whole tumor specipments were obtained perfusing and digesting the liver, followed by FACS sorting.","BULK RNA Seq: Constructed libraries using Illumina TruSeq RNA Preparation Kit according to the manufacturer’s instructions.","scRNA-seq: Single-cell RNA-seq libraries were prepared using the Chromium Single Cell 3′ v2 (RS013) and v3 (RS030, AJ064) Reagent Kit (10x Genomics) according to manufacturer’s instructions, 12 cycles of cDNA amplification and 12 cycles of library amplification were performed, and samples were sequenced on an Illumina NovaSeq 6000 at the JP Sulzberger Columbia Genome Center.","10090","ultra-pure HSC","processed data file: tpm_values_genes_kallisto RSB19-26 32-36 43-46.txt","bulk RNA-seq:","20M paired-end 100bp sequencing was performed using the Illumina NovaSeq 6000","RTA (Illumina) was used for base calling and bcl2fastq2 (version 2.19) for converting BCL to fastq format, coupled with adaptor trimming.","A pseudoalignment to a kallisto index was created from transcriptomes (Human: GRCh38; Mouse: GRCm38) using kallisto (0.44.0).","Differentially expressed genes were tested using DESeq2. Normalization was done internally using DESeq2's specialized algorithm and normalization to compare across samples, was performed using the TPM (transcripts per million) method","scRNA-seq:","10x genomics' cellranger pipeline was used to process the data (RS013 v2.1.1; RS030 and AJ064 v3.1.0).","BCL files were demultiplexed with 10x Cell Ranger's mkfastq command and analysis and alignment were performed using Cell Ranger's count command with Cell Ranger's reference mm10 (mouse) or hg38 (human).","Genome_build: mm10; hg38","Supplementary_files_format_and_content: text files includeTPM values for each Sample; raw counts in MatrixMarket (mtx) format","GPL24247","Robert,F,Schwabe","rfs2102@cumc.columbia.edu","Medicine","Columbia University","1130 ST NICHOLAS AVE - ROOM 916B","NEW YORK","NY","10032","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15502299","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8706458","NONE","","","HSC","LratCre+, TdTom+","none","C57BL/6",NA,"liver","Control"
"GSM4665430","RSB22_quiescent mouse HSC","GSM4665430","Public on Apr 28 2021","Jul 10 2020","May 22 2023","SRA","1","quiescent mouse HSC","Mus musculus","strain background: C57BL/6","genotype/variation: LratCre+, TdTom+","tissue: liver","liver damage: none","cell type: HSC","Biliary liver fibrosis was induced in eight-week-old mice subjected to ligation of the common bile duct and mice were sacrificed 14 days after. Cholestatic liver fibrosis was induced in mice treated with diet containing 0.1% 3,5-diethoxycarbonyl-1,4-dihydrocollidine (DDC) for three weeks. CCA was induced by co-injection of YAP/AKT/SB13 or KRAS/sg-p19/SB13 plasmids hydrodinamic tail vein injection and mice were sacrificed 6weeks after.","total RNA","HSC,CAF and whole tumor specipments were obtained perfusing and digesting the liver, followed by FACS sorting.","BULK RNA Seq: Constructed libraries using Illumina TruSeq RNA Preparation Kit according to the manufacturer’s instructions.","scRNA-seq: Single-cell RNA-seq libraries were prepared using the Chromium Single Cell 3′ v2 (RS013) and v3 (RS030, AJ064) Reagent Kit (10x Genomics) according to manufacturer’s instructions, 12 cycles of cDNA amplification and 12 cycles of library amplification were performed, and samples were sequenced on an Illumina NovaSeq 6000 at the JP Sulzberger Columbia Genome Center.","10090","ultra-pure HSC","processed data file: tpm_values_genes_kallisto RSB19-26 32-36 43-46.txt","bulk RNA-seq:","20M paired-end 100bp sequencing was performed using the Illumina NovaSeq 6000","RTA (Illumina) was used for base calling and bcl2fastq2 (version 2.19) for converting BCL to fastq format, coupled with adaptor trimming.","A pseudoalignment to a kallisto index was created from transcriptomes (Human: GRCh38; Mouse: GRCm38) using kallisto (0.44.0).","Differentially expressed genes were tested using DESeq2. Normalization was done internally using DESeq2's specialized algorithm and normalization to compare across samples, was performed using the TPM (transcripts per million) method","scRNA-seq:","10x genomics' cellranger pipeline was used to process the data (RS013 v2.1.1; RS030 and AJ064 v3.1.0).","BCL files were demultiplexed with 10x Cell Ranger's mkfastq command and analysis and alignment were performed using Cell Ranger's count command with Cell Ranger's reference mm10 (mouse) or hg38 (human).","Genome_build: mm10; hg38","Supplementary_files_format_and_content: text files includeTPM values for each Sample; raw counts in MatrixMarket (mtx) format","GPL24247","Robert,F,Schwabe","rfs2102@cumc.columbia.edu","Medicine","Columbia University","1130 ST NICHOLAS AVE - ROOM 916B","NEW YORK","NY","10032","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15502298","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8706459","NONE","","","HSC","LratCre+, TdTom+","none","C57BL/6",NA,"liver","Control"
"GSM4665431","RSB23_ouse HSC from 14 day BDL biliary fibrosis model","GSM4665431","Public on Apr 28 2021","Jul 10 2020","May 22 2023","SRA","1","ouse HSC from 14 day BDL biliary fibrosis model","Mus musculus","strain background: C57BL/6","genotype/variation: LratCre+, TdTom+","tissue: liver","liver damage: BDL 14 days","cell type: HSC","Biliary liver fibrosis was induced in eight-week-old mice subjected to ligation of the common bile duct and mice were sacrificed 14 days after. Cholestatic liver fibrosis was induced in mice treated with diet containing 0.1% 3,5-diethoxycarbonyl-1,4-dihydrocollidine (DDC) for three weeks. CCA was induced by co-injection of YAP/AKT/SB13 or KRAS/sg-p19/SB13 plasmids hydrodinamic tail vein injection and mice were sacrificed 6weeks after.","total RNA","HSC,CAF and whole tumor specipments were obtained perfusing and digesting the liver, followed by FACS sorting.","BULK RNA Seq: Constructed libraries using Illumina TruSeq RNA Preparation Kit according to the manufacturer’s instructions.","scRNA-seq: Single-cell RNA-seq libraries were prepared using the Chromium Single Cell 3′ v2 (RS013) and v3 (RS030, AJ064) Reagent Kit (10x Genomics) according to manufacturer’s instructions, 12 cycles of cDNA amplification and 12 cycles of library amplification were performed, and samples were sequenced on an Illumina NovaSeq 6000 at the JP Sulzberger Columbia Genome Center.","10090","ultra-pure HSC","processed data file: tpm_values_genes_kallisto RSB19-26 32-36 43-46.txt","bulk RNA-seq:","20M paired-end 100bp sequencing was performed using the Illumina NovaSeq 6000","RTA (Illumina) was used for base calling and bcl2fastq2 (version 2.19) for converting BCL to fastq format, coupled with adaptor trimming.","A pseudoalignment to a kallisto index was created from transcriptomes (Human: GRCh38; Mouse: GRCm38) using kallisto (0.44.0).","Differentially expressed genes were tested using DESeq2. Normalization was done internally using DESeq2's specialized algorithm and normalization to compare across samples, was performed using the TPM (transcripts per million) method","scRNA-seq:","10x genomics' cellranger pipeline was used to process the data (RS013 v2.1.1; RS030 and AJ064 v3.1.0).","BCL files were demultiplexed with 10x Cell Ranger's mkfastq command and analysis and alignment were performed using Cell Ranger's count command with Cell Ranger's reference mm10 (mouse) or hg38 (human).","Genome_build: mm10; hg38","Supplementary_files_format_and_content: text files includeTPM values for each Sample; raw counts in MatrixMarket (mtx) format","GPL24247","Robert,F,Schwabe","rfs2102@cumc.columbia.edu","Medicine","Columbia University","1130 ST NICHOLAS AVE - ROOM 916B","NEW YORK","NY","10032","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15502297","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8706460","NONE","","","HSC","LratCre+, TdTom+","BDL 14 days","C57BL/6",NA,"liver","Control"
"GSM4665432","RSB24_ouse HSC from 14 day BDL biliary fibrosis model","GSM4665432","Public on Apr 28 2021","Jul 10 2020","May 22 2023","SRA","1","ouse HSC from 14 day BDL biliary fibrosis model","Mus musculus","strain background: C57BL/6","genotype/variation: LratCre+, TdTom+","tissue: liver","liver damage: BDL 14 days","cell type: HSC","Biliary liver fibrosis was induced in eight-week-old mice subjected to ligation of the common bile duct and mice were sacrificed 14 days after. Cholestatic liver fibrosis was induced in mice treated with diet containing 0.1% 3,5-diethoxycarbonyl-1,4-dihydrocollidine (DDC) for three weeks. CCA was induced by co-injection of YAP/AKT/SB13 or KRAS/sg-p19/SB13 plasmids hydrodinamic tail vein injection and mice were sacrificed 6weeks after.","total RNA","HSC,CAF and whole tumor specipments were obtained perfusing and digesting the liver, followed by FACS sorting.","BULK RNA Seq: Constructed libraries using Illumina TruSeq RNA Preparation Kit according to the manufacturer’s instructions.","scRNA-seq: Single-cell RNA-seq libraries were prepared using the Chromium Single Cell 3′ v2 (RS013) and v3 (RS030, AJ064) Reagent Kit (10x Genomics) according to manufacturer’s instructions, 12 cycles of cDNA amplification and 12 cycles of library amplification were performed, and samples were sequenced on an Illumina NovaSeq 6000 at the JP Sulzberger Columbia Genome Center.","10090","ultra-pure HSC","processed data file: tpm_values_genes_kallisto RSB19-26 32-36 43-46.txt","bulk RNA-seq:","20M paired-end 100bp sequencing was performed using the Illumina NovaSeq 6000","RTA (Illumina) was used for base calling and bcl2fastq2 (version 2.19) for converting BCL to fastq format, coupled with adaptor trimming.","A pseudoalignment to a kallisto index was created from transcriptomes (Human: GRCh38; Mouse: GRCm38) using kallisto (0.44.0).","Differentially expressed genes were tested using DESeq2. Normalization was done internally using DESeq2's specialized algorithm and normalization to compare across samples, was performed using the TPM (transcripts per million) method","scRNA-seq:","10x genomics' cellranger pipeline was used to process the data (RS013 v2.1.1; RS030 and AJ064 v3.1.0).","BCL files were demultiplexed with 10x Cell Ranger's mkfastq command and analysis and alignment were performed using Cell Ranger's count command with Cell Ranger's reference mm10 (mouse) or hg38 (human).","Genome_build: mm10; hg38","Supplementary_files_format_and_content: text files includeTPM values for each Sample; raw counts in MatrixMarket (mtx) format","GPL24247","Robert,F,Schwabe","rfs2102@cumc.columbia.edu","Medicine","Columbia University","1130 ST NICHOLAS AVE - ROOM 916B","NEW YORK","NY","10032","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15502296","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8706461","NONE","","","HSC","LratCre+, TdTom+","BDL 14 days","C57BL/6",NA,"liver","Control"
"GSM4665433","RSB25_ouse HSC from 14 day BDL biliary fibrosis model","GSM4665433","Public on Apr 28 2021","Jul 10 2020","May 22 2023","SRA","1","ouse HSC from 14 day BDL biliary fibrosis model","Mus musculus","strain background: C57BL/6","genotype/variation: LratCre+, TdTom+","tissue: liver","liver damage: BDL 14 days","cell type: HSC","Biliary liver fibrosis was induced in eight-week-old mice subjected to ligation of the common bile duct and mice were sacrificed 14 days after. Cholestatic liver fibrosis was induced in mice treated with diet containing 0.1% 3,5-diethoxycarbonyl-1,4-dihydrocollidine (DDC) for three weeks. CCA was induced by co-injection of YAP/AKT/SB13 or KRAS/sg-p19/SB13 plasmids hydrodinamic tail vein injection and mice were sacrificed 6weeks after.","total RNA","HSC,CAF and whole tumor specipments were obtained perfusing and digesting the liver, followed by FACS sorting.","BULK RNA Seq: Constructed libraries using Illumina TruSeq RNA Preparation Kit according to the manufacturer’s instructions.","scRNA-seq: Single-cell RNA-seq libraries were prepared using the Chromium Single Cell 3′ v2 (RS013) and v3 (RS030, AJ064) Reagent Kit (10x Genomics) according to manufacturer’s instructions, 12 cycles of cDNA amplification and 12 cycles of library amplification were performed, and samples were sequenced on an Illumina NovaSeq 6000 at the JP Sulzberger Columbia Genome Center.","10090","ultra-pure HSC","processed data file: tpm_values_genes_kallisto RSB19-26 32-36 43-46.txt","bulk RNA-seq:","20M paired-end 100bp sequencing was performed using the Illumina NovaSeq 6000","RTA (Illumina) was used for base calling and bcl2fastq2 (version 2.19) for converting BCL to fastq format, coupled with adaptor trimming.","A pseudoalignment to a kallisto index was created from transcriptomes (Human: GRCh38; Mouse: GRCm38) using kallisto (0.44.0).","Differentially expressed genes were tested using DESeq2. Normalization was done internally using DESeq2's specialized algorithm and normalization to compare across samples, was performed using the TPM (transcripts per million) method","scRNA-seq:","10x genomics' cellranger pipeline was used to process the data (RS013 v2.1.1; RS030 and AJ064 v3.1.0).","BCL files were demultiplexed with 10x Cell Ranger's mkfastq command and analysis and alignment were performed using Cell Ranger's count command with Cell Ranger's reference mm10 (mouse) or hg38 (human).","Genome_build: mm10; hg38","Supplementary_files_format_and_content: text files includeTPM values for each Sample; raw counts in MatrixMarket (mtx) format","GPL24247","Robert,F,Schwabe","rfs2102@cumc.columbia.edu","Medicine","Columbia University","1130 ST NICHOLAS AVE - ROOM 916B","NEW YORK","NY","10032","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15502295","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8706462","NONE","","","HSC","LratCre+, TdTom+","BDL 14 days","C57BL/6",NA,"liver","Control"
"GSM4665434","RSB26_ouse HSC from 14 day BDL biliary fibrosis model","GSM4665434","Public on Apr 28 2021","Jul 10 2020","May 22 2023","SRA","1","ouse HSC from 14 day BDL biliary fibrosis model","Mus musculus","strain background: C57BL/6","genotype/variation: LratCre+, TdTom+","tissue: liver","liver damage: BDL 14 days","cell type: HSC","Biliary liver fibrosis was induced in eight-week-old mice subjected to ligation of the common bile duct and mice were sacrificed 14 days after. Cholestatic liver fibrosis was induced in mice treated with diet containing 0.1% 3,5-diethoxycarbonyl-1,4-dihydrocollidine (DDC) for three weeks. CCA was induced by co-injection of YAP/AKT/SB13 or KRAS/sg-p19/SB13 plasmids hydrodinamic tail vein injection and mice were sacrificed 6weeks after.","total RNA","HSC,CAF and whole tumor specipments were obtained perfusing and digesting the liver, followed by FACS sorting.","BULK RNA Seq: Constructed libraries using Illumina TruSeq RNA Preparation Kit according to the manufacturer’s instructions.","scRNA-seq: Single-cell RNA-seq libraries were prepared using the Chromium Single Cell 3′ v2 (RS013) and v3 (RS030, AJ064) Reagent Kit (10x Genomics) according to manufacturer’s instructions, 12 cycles of cDNA amplification and 12 cycles of library amplification were performed, and samples were sequenced on an Illumina NovaSeq 6000 at the JP Sulzberger Columbia Genome Center.","10090","ultra-pure HSC","processed data file: tpm_values_genes_kallisto RSB19-26 32-36 43-46.txt","bulk RNA-seq:","20M paired-end 100bp sequencing was performed using the Illumina NovaSeq 6000","RTA (Illumina) was used for base calling and bcl2fastq2 (version 2.19) for converting BCL to fastq format, coupled with adaptor trimming.","A pseudoalignment to a kallisto index was created from transcriptomes (Human: GRCh38; Mouse: GRCm38) using kallisto (0.44.0).","Differentially expressed genes were tested using DESeq2. Normalization was done internally using DESeq2's specialized algorithm and normalization to compare across samples, was performed using the TPM (transcripts per million) method","scRNA-seq:","10x genomics' cellranger pipeline was used to process the data (RS013 v2.1.1; RS030 and AJ064 v3.1.0).","BCL files were demultiplexed with 10x Cell Ranger's mkfastq command and analysis and alignment were performed using Cell Ranger's count command with Cell Ranger's reference mm10 (mouse) or hg38 (human).","Genome_build: mm10; hg38","Supplementary_files_format_and_content: text files includeTPM values for each Sample; raw counts in MatrixMarket (mtx) format","GPL24247","Robert,F,Schwabe","rfs2102@cumc.columbia.edu","Medicine","Columbia University","1130 ST NICHOLAS AVE - ROOM 916B","NEW YORK","NY","10032","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15502294","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8706463","NONE","","","HSC","LratCre+, TdTom+","BDL 14 days","C57BL/6",NA,"liver","Control"
"GSM4665435","RSB32_Mouse HSC from 3 week DDC diet biliary fibrosis model","GSM4665435","Public on Apr 28 2021","Jul 10 2020","May 22 2023","SRA","1","Mouse HSC from 3 week DDC diet biliary fibrosis model","Mus musculus","strain background: C57BL/6","genotype/variation: LratCre+, TdTom+","tissue: liver","liver damage: DDC 3 weeks","cell type: HSC","Biliary liver fibrosis was induced in eight-week-old mice subjected to ligation of the common bile duct and mice were sacrificed 14 days after. Cholestatic liver fibrosis was induced in mice treated with diet containing 0.1% 3,5-diethoxycarbonyl-1,4-dihydrocollidine (DDC) for three weeks. CCA was induced by co-injection of YAP/AKT/SB13 or KRAS/sg-p19/SB13 plasmids hydrodinamic tail vein injection and mice were sacrificed 6weeks after.","total RNA","HSC,CAF and whole tumor specipments were obtained perfusing and digesting the liver, followed by FACS sorting.","BULK RNA Seq: Constructed libraries using Illumina TruSeq RNA Preparation Kit according to the manufacturer’s instructions.","scRNA-seq: Single-cell RNA-seq libraries were prepared using the Chromium Single Cell 3′ v2 (RS013) and v3 (RS030, AJ064) Reagent Kit (10x Genomics) according to manufacturer’s instructions, 12 cycles of cDNA amplification and 12 cycles of library amplification were performed, and samples were sequenced on an Illumina NovaSeq 6000 at the JP Sulzberger Columbia Genome Center.","10090","ultra-pure HSC","processed data file: tpm_values_genes_kallisto RSB19-26 32-36 43-46.txt","bulk RNA-seq:","20M paired-end 100bp sequencing was performed using the Illumina NovaSeq 6000","RTA (Illumina) was used for base calling and bcl2fastq2 (version 2.19) for converting BCL to fastq format, coupled with adaptor trimming.","A pseudoalignment to a kallisto index was created from transcriptomes (Human: GRCh38; Mouse: GRCm38) using kallisto (0.44.0).","Differentially expressed genes were tested using DESeq2. Normalization was done internally using DESeq2's specialized algorithm and normalization to compare across samples, was performed using the TPM (transcripts per million) method","scRNA-seq:","10x genomics' cellranger pipeline was used to process the data (RS013 v2.1.1; RS030 and AJ064 v3.1.0).","BCL files were demultiplexed with 10x Cell Ranger's mkfastq command and analysis and alignment were performed using Cell Ranger's count command with Cell Ranger's reference mm10 (mouse) or hg38 (human).","Genome_build: mm10; hg38","Supplementary_files_format_and_content: text files includeTPM values for each Sample; raw counts in MatrixMarket (mtx) format","GPL24247","Robert,F,Schwabe","rfs2102@cumc.columbia.edu","Medicine","Columbia University","1130 ST NICHOLAS AVE - ROOM 916B","NEW YORK","NY","10032","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15502315","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8706464","NONE","","","HSC","LratCre+, TdTom+","DDC 3 weeks","C57BL/6",NA,"liver","Control"
"GSM4665436","RSB33_Mouse HSC from 3 week DDC diet biliary fibrosis model","GSM4665436","Public on Apr 28 2021","Jul 10 2020","May 22 2023","SRA","1","Mouse HSC from 3 week DDC diet biliary fibrosis model","Mus musculus","strain background: C57BL/6","genotype/variation: LratCre+, TdTom+","tissue: liver","liver damage: DDC 3 weeks","cell type: HSC","Biliary liver fibrosis was induced in eight-week-old mice subjected to ligation of the common bile duct and mice were sacrificed 14 days after. Cholestatic liver fibrosis was induced in mice treated with diet containing 0.1% 3,5-diethoxycarbonyl-1,4-dihydrocollidine (DDC) for three weeks. CCA was induced by co-injection of YAP/AKT/SB13 or KRAS/sg-p19/SB13 plasmids hydrodinamic tail vein injection and mice were sacrificed 6weeks after.","total RNA","HSC,CAF and whole tumor specipments were obtained perfusing and digesting the liver, followed by FACS sorting.","BULK RNA Seq: Constructed libraries using Illumina TruSeq RNA Preparation Kit according to the manufacturer’s instructions.","scRNA-seq: Single-cell RNA-seq libraries were prepared using the Chromium Single Cell 3′ v2 (RS013) and v3 (RS030, AJ064) Reagent Kit (10x Genomics) according to manufacturer’s instructions, 12 cycles of cDNA amplification and 12 cycles of library amplification were performed, and samples were sequenced on an Illumina NovaSeq 6000 at the JP Sulzberger Columbia Genome Center.","10090","ultra-pure HSC","processed data file: tpm_values_genes_kallisto RSB19-26 32-36 43-46.txt","bulk RNA-seq:","20M paired-end 100bp sequencing was performed using the Illumina NovaSeq 6000","RTA (Illumina) was used for base calling and bcl2fastq2 (version 2.19) for converting BCL to fastq format, coupled with adaptor trimming.","A pseudoalignment to a kallisto index was created from transcriptomes (Human: GRCh38; Mouse: GRCm38) using kallisto (0.44.0).","Differentially expressed genes were tested using DESeq2. Normalization was done internally using DESeq2's specialized algorithm and normalization to compare across samples, was performed using the TPM (transcripts per million) method","scRNA-seq:","10x genomics' cellranger pipeline was used to process the data (RS013 v2.1.1; RS030 and AJ064 v3.1.0).","BCL files were demultiplexed with 10x Cell Ranger's mkfastq command and analysis and alignment were performed using Cell Ranger's count command with Cell Ranger's reference mm10 (mouse) or hg38 (human).","Genome_build: mm10; hg38","Supplementary_files_format_and_content: text files includeTPM values for each Sample; raw counts in MatrixMarket (mtx) format","GPL24247","Robert,F,Schwabe","rfs2102@cumc.columbia.edu","Medicine","Columbia University","1130 ST NICHOLAS AVE - ROOM 916B","NEW YORK","NY","10032","USA","0","Illumina NovaSeq 6000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15502314","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8706465","NONE","","","HSC","LratCre+, TdTom+","DDC 3 weeks","C57BL/6",NA,"liver","Control"
