dataset,ndufb7_expression
GSE168742_human_control_CM,8.71646
GSE168742_human_control_CM,108.994
GSE168742_human_control_CM,678.492
GSE168742_human_control_CM,134.673
GSE168742_human_control_CM,68.8373
GSE168742_human_control_CM,128.253
GSE168742_human_control_CM,895.212
GSE168742_human_control_CM,838.347
GSE168742_human_control_CM,368.117
GSE168742_human_control_CM,673.721
GSE168742_human_control_CM,95.3815
GSE168742_human_control_CM,453.009
GSE168742_human_control_CM,778.71
GSE168742_human_control_CM,492.948
GSE168742_human_control_CM,376.163
GSE168742_human_control_CM,59.9321
GSE168742_human_control_CM,200.782
GSE168742_human_control_CM,229.782
GSE168742_human_control_CM,307.595
GSE168742_human_control_CM,82.929
GSE168742_human_control_CM,50.0246
GSE168742_human_control_CM,458.961
GSE168742_human_control_CM,158.45
GSE168742_human_control_CM,149.473
GSE168742_human_control_CM,599.274
GSE168742_human_control_CM,311.553
GSE168742_human_control_CM,667.026
GSE168742_human_control_CM,493.719
GSE168742_human_control_CM,270.592
GSE168742_human_control_CM,188.329
GSE168742_human_control_CM,39.9246
GSE168742_human_control_CM,48.0327
GSE168742_human_control_CM,717.987
GSE168742_human_control_CM,71.3502
GSE168742_human_control_CM,354.398
GSE168742_human_control_CM,741.835
GSE168742_human_control_CM,645.373
GSE168742_human_control_CM,776.469
GSE168742_human_control_CM,283.143
GSE168742_human_control_CM,89.7989
GSE168742_human_control_CM,740.923
GSE168742_human_control_CM,379.756
GSE168742_human_control_CM,1529.99
GSE168742_human_control_CM,201.118
GSE168742_human_control_CM,0
GSE168742_human_control_CM,151.792
GSE168742_human_control_CM,0
GSE168742_human_control_CM,850.46
GSE168742_human_control_CM,220.669
GSE168742_human_control_CM,127.525
GSE168742_human_control_CM,1607.68
GSE168742_human_control_CM,729.041
GSE168742_human_control_CM,737.993
GSE168742_human_control_CM,445.55
GSE168742_human_control_CM,94.7557
GSE168742_human_control_CM,241.404
GSE168742_human_control_CM,472.28
GSE168742_human_control_CM,1340.82
GSE168742_human_control_CM,538.953
GSE168742_human_control_CM,302.651
GSE168742_human_control_CM,0
GSE168742_human_control_CM,28.2652
GSE168742_human_control_CM,0
GSE168742_human_control_CM,902.86
GSE168742_human_control_CM,419.3
GSE168742_human_control_CM,262.535
GSE168742_human_control_CM,1031.3
GSE168742_human_control_CM,1115.37
GSE168742_human_control_CM,168.973
GSE168742_human_control_CM,164.868
GSE168742_human_control_CM,463.714
GSE168742_human_control_CM,1024.25
GSE168742_human_control_CM,255.391
GSE168742_human_control_CM,434.307
GSE168742_human_control_CM,573.756
GSE168742_human_control_CM,567.326
GSE168742_human_control_CM,313.279
GSE168742_human_control_CM,262.855
GSE168742_human_control_CM,1456.61
GSE168742_human_control_CM,1295.8
GSE168742_human_control_CM,1073.67
GSE168742_human_control_CM,152.94
GSE168742_human_control_CM,0
GSE168742_human_control_CM,2030.82
GSE168742_human_HF_CM,323.665
GSE168742_human_HF_CM,480.349
GSE168742_human_HF_CM,226.075
GSE168742_human_HF_CM,368.519
GSE168742_human_HF_CM,832.726
GSE168742_human_HF_CM,462.299
GSE168742_human_HF_CM,849.276
GSE168742_human_HF_CM,1193.66
GSE168742_human_HF_CM,86.2951
GSE168742_human_HF_CM,12.8676
GSE168742_human_HF_CM,56.4391
GSE168742_human_HF_CM,1083.22
GSE168742_human_HF_CM,221.562
GSE168742_human_HF_CM,593.434
GSE168742_human_HF_CM,560.714
GSE168742_human_HF_CM,456.475
GSE168742_human_HF_CM,750.249
GSE168742_human_HF_CM,247.568
GSE168742_human_HF_CM,362.013
GSE168742_human_HF_CM,257.391
