Condition,CellType,N,Mean,Median,SD,Q75,Q25,ZeroPct
DCM,Adipocytes,369,0.130081300813008,0,0.396164003015493,0,0,88.9
Donor,Adipocytes,710,0.156338028169014,0,0.424308080041816,0,0,86.3
DCM,B_Cells,70,0.0142857142857143,0,0.119522860933439,0,0,98.6
Donor,B_Cells,81,0.0864197530864198,0,0.282733569999988,0,0,91.4
DCM,Cardiomyocytes,6478,0.140321086755171,0,0.392032768458708,0,0,87.4
Donor,Cardiomyocytes,40598,0.205010099019656,0,0.478384687156751,0,0,82.3
DCM,Endocardium,5881,0.0647849005271212,0,0.262871684671246,0,0,93.9
Donor,Endocardium,10060,0.133499005964215,0,0.378583495765119,0,0,87.9
DCM,Endothelium,12665,0.0866956178444532,0,0.300137919919114,0,0,91.8
Donor,Endothelium,25364,0.139843873206119,0,0.394386236021975,0,0,87.6
DCM,Epicardium,465,0.109677419354839,0,0.332850967261805,0,0,89.7
Donor,Epicardium,936,0.102564102564103,0,0.355482418548599,0,0,91.2
DCM,Fibroblasts,20388,0.0846085932901707,0,0.305204939769088,0,0,92.2
Donor,Fibroblasts,28736,0.133769487750557,0,0.382121325586242,0,0,88
DCM,Lymphatic,991,0.070635721493441,0,0.278987164353848,0,0,93.4
Donor,Lymphatic,1302,0.140552995391705,0,0.401073503610593,0,0,87.7
DCM,Macrophages,10392,0.0644726712856043,0,0.259698475292699,0,0,93.9
Donor,Macrophages,18860,0.124867444326617,0,0.368502239411495,0,0,88.7
DCM,Mast_Cells,199,0.0452261306532663,0,0.231300286087249,0,0,96
Donor,Mast_Cells,1142,0.134851138353765,0,0.424112130979239,0,0,89.1
DCM,Monocytes,488,0.0491803278688525,0,0.234672527879097,0,0,95.5
Donor,Monocytes,316,0.113924050632911,0,0.337585893489676,0,0,89.2
DCM,Neurons,643,0.0933125972006221,0,0.340425892704444,0,0,91.8
Donor,Neurons,1221,0.158886158886159,0,0.416047054771064,0,0,86
DCM,Pericytes,3983,0.0931458699472759,0,0.311524371463068,0,0,91.3
Donor,Pericytes,19152,0.180921052631579,0,0.468088131116983,0,0,84.8
DCM,Smooth_Muscle,1480,0.072972972972973,0,0.294321877816228,0,0,93.5
Donor,Smooth_Muscle,3203,0.139244458320325,0,0.387941673332361,0,0,87.5
DCM,T/NK_Cells,2177,0.0564997703261369,0,0.238764559390039,0,0,94.5
Donor,T/NK_Cells,2402,0.126144879267277,0,0.371169511351091,0,0,88.6
