Sample,Cells,Mean_NDUFB7
V_1Hr_4Hr_d3_Np_4,3057,5.4962381419692505
V_1hr,2468,6.476499189627228
V_4hr,2578,3.374321179208689
V_ISO_d3,1917,4.737610850286907
V_TAC_d3_Np_1,3123,3.2215818123599105
V_d1_2,2461,1.5505891913856156
V_d1_3,2438,5.239130434782608
V_d7_2,2428,4.187808896210873
V_d7_3,2363,20.505289885738467
V_sham_1_Np_2,3540,5.512711864406779
filtered_feature_bc_matrix,3898,0.000513083632632119
sn1hr_1,8555,0.2663939216832262
sn1hr_2,15299,0.08647624027714229
sn4hr,6794880,0.00021472049543185456
snd0_1,12627,0.03318286212085214
snd0_2,20027,0.1557397513356968
snd0_3,3195,0.16651017214397495
snd1_1,2471,0.021853500607041682
snd1_3,5087,0.01946137212502457
snd1_4,6426,0.08543417366946779
snd1_5,4857,0.07185505456042825
snd1_6,12867,0.03777104220097925
snd3_1,3554,0.028418683173888577
snd3_2,4904,0.09767536704730832
snd3_3,1865,0.10455764075067024
snd7_1,27910,0.04804729487638839
snd7_2,27910,0.04804729487638839
snd7_3,5891,0.11610931930062808
