"Gene","Correlation","KO_Expected"
"NDUFB7",1,"Down_regulated"
"MB",0.18686087026593,"Down_regulated"
"MYL3",0.153466899417649,"Down_regulated"
"MT-CO1",0.149391171921914,"Down_regulated"
"TNNC1",0.139569660440713,"Down_regulated"
"S100A1",0.139112427777325,"Down_regulated"
"SLC25A4",0.129297829113256,"Down_regulated"
"COX5B",0.129027807172711,"Down_regulated"
"CKM",0.125114249301001,"Down_regulated"
"GAPDH",0.121745984766255,"Down_regulated"
"MT-CO3",0.119987718199903,"Down_regulated"
"MT-CO2",0.119134768345234,"Down_regulated"
"ALDOA",0.118385709749718,"Down_regulated"
"PTGDS",0.118057394146797,"Down_regulated"
"MT-CYB",0.116247680818052,"Down_regulated"
"RPLP1",0.115242948536403,"Down_regulated"
"MT-ND4L",0.1137520130539,"Down_regulated"
"NDUFA4",0.112247052102508,"Down_regulated"
"ACTC1",0.111363002143146,"Down_regulated"
"CRYAB",0.109959578591556,"Down_regulated"
"NDUFB10",0.107809069593689,"Down_regulated"
"COX4I1",0.106032646914381,"Down_regulated"
"NDUFA13",0.104203481049098,"Down_regulated"
"MYH7",0.102414984185889,"Down_regulated"
"TPM1",0.101727720106451,"Down_regulated"
"COX7C",0.101295904977214,"Down_regulated"
"RPS14",0.100157247738785,"Down_regulated"
"FTH1",0.100010495745281,"Down_regulated"
"MRPL41",0.0989954737081695,"Unchanged"
"ATP5B",0.0989736891337409,"Unchanged"
"MYL9",0.0988911049356834,"Unchanged"
"MT-ATP6",0.097167472277266,"Unchanged"
"MT-ND5",0.0963131281682786,"Unchanged"
"LGALS1",0.0952918274755094,"Unchanged"
"RPL8",0.0931961626823583,"Unchanged"
"CST3",0.09191618708451,"Unchanged"
"MT-ND4",0.0899224781970099,"Unchanged"
"HSPB6",0.0894890399022168,"Unchanged"
"COX5A",0.0893287894325649,"Unchanged"
"BSG",0.0892864880583102,"Unchanged"
"CTD-2192J16.22",0.0891473099634678,"Unchanged"
"PGAM2",0.0889877295947134,"Unchanged"
"NDUFAB1",0.0864202879684725,"Unchanged"
"SERF2",0.0856377683511083,"Unchanged"
"RPL13",0.085040819415881,"Unchanged"
"ATP5G3",0.0840918611929762,"Unchanged"
"SOD1",0.0837980748815165,"Unchanged"
"COX6A2",0.0831298348784924,"Unchanged"
"TPI1",0.0827454279732859,"Unchanged"
"EIF1",0.0827002993503749,"Unchanged"
"CHCHD10",0.0825260314523854,"Unchanged"
"ITM2B",0.0823296186550819,"Unchanged"
"IFITM3",0.082237491289095,"Unchanged"
"ATP5E",0.080918641666802,"Unchanged"
"TPT1",0.0808090868666076,"Unchanged"
"SRP14",0.0804301945223601,"Unchanged"
"SLC25A3",0.0799875354774229,"Unchanged"
"ATP5F1",0.0798112884285882,"Unchanged"
"ATP5G2",0.079189001784183,"Unchanged"
"TUBB4B",0.079035681145516,"Unchanged"
"LGALS3BP",0.0786956647298302,"Unchanged"
"PRDX5",0.0785546201223766,"Unchanged"
"NDUFA1",0.0783504462601576,"Unchanged"
"ATP5A1",0.0781483860365578,"Unchanged"
"ADSSL1",0.077969327873818,"Unchanged"
"TCAP",0.077635783973393,"Unchanged"
"NDUFB2",0.0773881927038254,"Unchanged"
"H3F3B",0.0770416160784585,"Unchanged"
"CD63",0.0770218442752004,"Unchanged"
"MT-ATP8",0.0768574122023218,"Unchanged"
"NDUFB9",0.0768237705128166,"Unchanged"
"MT-ND1",0.0765497272791855,"Unchanged"
"PSMB6",0.0765334347378104,"Unchanged"
"HSP90AB1",0.0763854906041529,"Unchanged"
"MT-ND2",0.0754394701669028,"Unchanged"
"CYC1",0.0750668887774994,"Unchanged"
"BAIAP2L1",0.0748911124154031,"Unchanged"
"ATP5D",0.0743611670509779,"Unchanged"
"COX7A1",0.0742807111283948,"Unchanged"
"RP11-372E1.4",0.0742213988870291,"Unchanged"
"OR4C3",0.0742213988870291,"Unchanged"
"RP11-351A20.1",0.0742213988870291,"Unchanged"
"RP11-839G9.1",0.0742213988870291,"Unchanged"
"RP11-506B6.7",0.0742213988870291,"Unchanged"
"NHEG1",0.0742213988870291,"Unchanged"
"RP11-675F6.3",0.0742213988870291,"Unchanged"
"RP11-558A11.1",0.0742213988870291,"Unchanged"
"B2M",0.073781742414523,"Unchanged"
"UBC",0.073709677494876,"Unchanged"
"AC090498.1",0.0736621238715549,"Unchanged"
"PEBP1",0.0736172641153997,"Unchanged"
"CRIP2",0.0732398643390994,"Unchanged"
"CD59",0.0732312126683905,"Unchanged"
"EID1",0.0728628976851249,"Unchanged"
"SPARC",0.072593775276326,"Unchanged"
"ZNF280D",0.0723399242233735,"Unchanged"
"COX7B",0.0722144586029359,"Unchanged"
"FABP3",0.0719951991184147,"Unchanged"
"RPL30",0.0718764021957592,"Unchanged"
"RPS16",0.0709058651496958,"Unchanged"
"ZACN",0.0708352095485231,"Unchanged"
"DSTN",0.0704501539823107,"Unchanged"
"HRC",0.0703204635796059,"Unchanged"
"PPDPF",0.0703127965480057,"Unchanged"
"TLN1",0.0702120360230494,"Unchanged"
"TUBA1B",0.0701852346204559,"Unchanged"
"AC018890.6",0.0701343437144578,"Unchanged"
"CHCHD2",0.0701213152616153,"Unchanged"
"EIF3K",0.0699020722413472,"Unchanged"
"AC004448.5",0.069849151237027,"Unchanged"
"HSPB1",0.0698206030745712,"Unchanged"
"RPS19",0.0693412365232891,"Unchanged"
"PFN1",0.0693100268330989,"Unchanged"
"RPL15",0.0691915925808547,"Unchanged"
"TIMP3",0.0691222251513135,"Unchanged"
"NDUFS5",0.0690446661405087,"Unchanged"
"MDH2",0.0688276566920909,"Unchanged"
"CFL1",0.0685953514362378,"Unchanged"
"NDUFA4L2",0.0685664354736461,"Unchanged"
"MRPL34",0.0684346556181794,"Unchanged"
"NDUFA8",0.0682156431419824,"Unchanged"
"UBB",0.0681360088689497,"Unchanged"
"TOMM7",0.0680974981814088,"Unchanged"
"COX6B1",0.0678830264284358,"Unchanged"
"PRDX6",0.0678176563242203,"Unchanged"
"MAS1L",0.0676085357858052,"Unchanged"
"LA16c-361A3.3",0.0676085357858052,"Unchanged"
"CKB",0.0673940418548245,"Unchanged"
"MYL2",0.0673080157416209,"Unchanged"
"RP11-329E24.6",0.0672847973709684,"Unchanged"
"VIM",0.0670318095773727,"Unchanged"
"IGFBP4",0.0670079847774616,"Unchanged"
"RPL3",0.0669342684311699,"Unchanged"
"NDUFA6",0.0668168828294318,"Unchanged"
"HLA-C",0.0666730757200573,"Unchanged"
"UQCRB",0.0664654918880375,"Unchanged"
"ATP5J",0.0664419480214259,"Unchanged"
"ZNHIT1",0.0663894413074215,"Unchanged"
"RPS4X",0.0662544512747005,"Unchanged"
"SUMO2",0.0661243261744293,"Unchanged"
"NDUFS8",0.0654789562908336,"Unchanged"
"PKM",0.0654766746585998,"Unchanged"
"IGFBP7",0.0654563290608688,"Unchanged"
"RPS23",0.0653925959629114,"Unchanged"
"AURKAIP1",0.065378850819175,"Unchanged"
"GPX3",0.0651582486355255,"Unchanged"
"ZNF248",0.0650964797116204,"Unchanged"
"TSPO",0.0649191806793845,"Unchanged"
"PPP1CC",0.0648497228506162,"Unchanged"
"GPX1",0.0648020434042389,"Unchanged"
"C19orf70",0.0647032399337065,"Unchanged"
"GOT2",0.0643623531943132,"Unchanged"
"UQCRFS1",0.0641198519595271,"Unchanged"
"PNRC2",0.0638314952484883,"Unchanged"
"LDHB",0.0637134992365585,"Unchanged"
"MDH1",0.0637015467206146,"Unchanged"
"RGS5",0.0634888410428496,"Unchanged"
"BTF3",0.0634498094545141,"Unchanged"
"PSMA7",0.0633592990636177,"Unchanged"
"UQCRC1",0.0630164029745022,"Unchanged"
"SLC16A7",0.062987692852145,"Unchanged"
"HSP90B1",0.0629560141494716,"Unchanged"
"ARMC9",0.0626544283350326,"Unchanged"
"RPS6",0.0625704607740278,"Unchanged"
"CNBP",0.0625660360016783,"Unchanged"
"HDLBP",0.0625306211172517,"Unchanged"
"SPARCL1",0.0624680447446414,"Unchanged"
"ATP5L",0.0618750200696137,"Unchanged"
"RPS5",0.0618734234012821,"Unchanged"
"EIF4G2",0.061866821743988,"Unchanged"
"CD151",0.0617533935789155,"Unchanged"
"RPL32",0.0617296777415204,"Unchanged"
"SLC2A4",0.0616733877961308,"Unchanged"
"MYL6",0.0616544193554918,"Unchanged"
"GGACT",0.0616215698927502,"Unchanged"
"RPS15",0.0609402862344929,"Unchanged"
"SLC35F1",0.060911951384124,"Unchanged"
"TNNI3",0.0607189223453986,"Unchanged"
"SMARCA2",0.0606747670571213,"Unchanged"
"FIS1",0.060585695343986,"Unchanged"
"HMGN2",0.0604652699292949,"Unchanged"
"PTTG1IP",0.0603642333488997,"Unchanged"
"WSB1",0.0603369818050216,"Unchanged"
"ARF5",0.0601242005741658,"Unchanged"
"YWHAZ",0.0599004020230376,"Unchanged"
"RPS9",0.0598801606130039,"Unchanged"
"TXNIP",0.059748828602698,"Unchanged"
"WBP1",0.0596492943498524,"Unchanged"
"AC011513.4",0.0596492943498524,"Unchanged"
"MYL12A",0.0596077758062573,"Unchanged"
"TRIM3",0.0592531573413078,"Unchanged"
"IMMP2L",0.0591404287073339,"Unchanged"
"RPLP0",0.0591217120088619,"Unchanged"
"ATP5G1",0.0590752787741248,"Unchanged"
"PRDX1",0.0589574152895116,"Unchanged"
"TAGLN",0.058874800565785,"Unchanged"
"RPL7A",0.0588591527670344,"Unchanged"
"SDPR",0.0587523481702773,"Unchanged"
"MPC1",0.0587252413313933,"Unchanged"
"PSMD8",0.0582922367083459,"Unchanged"
"CLTA",0.0582269218301771,"Unchanged"
"IDH2",0.058205698111669,"Unchanged"
"PPM1K",0.0579099682815127,"Unchanged"
"GNB2",0.0577586738704938,"Unchanged"
"FLNA",0.0576611317315123,"Unchanged"
"IFITM2",0.0576484854500831,"Unchanged"
"PSME1",0.0575395293383867,"Unchanged"
"STEAP1B",0.057495800945497,"Unchanged"
"MPC2",0.0574799025854181,"Unchanged"
"PPIB",0.0574352890890542,"Unchanged"
"ZNF91",0.0571928146725856,"Unchanged"
"GADD45GIP1",0.0568394298640831,"Unchanged"
"YWHAE",0.0568227120663571,"Unchanged"
"EEF2",0.0567605682756177,"Unchanged"
"TXNDC15",0.0567363031500613,"Unchanged"
"HIF3A",0.0567044835716939,"Unchanged"
"GRPEL1",0.0566441622254834,"Unchanged"
"RP11-253E3.3",0.0566028121099437,"Unchanged"
"MYL12B",0.0565563101168753,"Unchanged"
"HSPA8",0.0565233844188351,"Unchanged"
"PLEKHN1",0.0564982611104896,"Unchanged"
"MRFAP1",0.0563743845677893,"Unchanged"
"EDF1",0.0562334468261002,"Unchanged"
"TIMM10",0.0561231119698298,"Unchanged"
"PCBP1",0.0560561293938061,"Unchanged"
"ATPIF1",0.0560200681688339,"Unchanged"
"IGLON5",0.0559905383425194,"Unchanged"
"MLEC",0.055950352738376,"Unchanged"
"SNRPD2",0.0559004386179453,"Unchanged"
"KANSL1",0.055870121239647,"Unchanged"
"CD99",0.0558658205812718,"Unchanged"
"TRNP1",0.055850838447294,"Unchanged"
"PPP1R21",0.0557690290445711,"Unchanged"
"TRIP10",0.0557586339799981,"Unchanged"
"HCFC1R1",0.0556071989714893,"Unchanged"
"CAV1",0.055487009917358,"Unchanged"
"EFNA4",0.0553795806643141,"Unchanged"
"FAU",0.0553677648276196,"Unchanged"
"CGGBP1",0.0553326775506088,"Unchanged"
"TRAPPC6A",0.055198408435393,"Unchanged"
"COL8A2",0.0551694775587115,"Unchanged"
"NDUFC2",0.0551371508651869,"Unchanged"
"RNASE1",0.0551098647337391,"Unchanged"
"MFGE8",0.0551008590498551,"Unchanged"
"MAF1",0.0550566006171726,"Unchanged"
"ECHDC2",0.0550038994115237,"Unchanged"
"ATPAF1",0.0550028459707317,"Unchanged"
"LAMP2",0.0549863623732355,"Unchanged"
"GJA1",0.0548604235087937,"Unchanged"
"THSD1",0.0548368573996958,"Unchanged"
"CKMT2",0.0547045354166784,"Unchanged"
"COX8A",0.0546513744369629,"Unchanged"
"RBPMS2",0.0546201464965315,"Unchanged"
"CLEC14A",0.0545671041584085,"Unchanged"
"PHF7",0.0545579604276985,"Unchanged"
"PPIA",0.054552457415453,"Unchanged"
"HSPB7",0.0545390774850104,"Unchanged"
"MRPS34",0.0544911654207642,"Unchanged"
"ENPP4",0.0544329784368347,"Unchanged"
"HLA-B",0.0542701596468336,"Unchanged"
"DTX1",0.0542291094360166,"Unchanged"
"RP11-244M2.1",0.054125294812478,"Unchanged"
"ZNF436-AS1",0.054093799051955,"Unchanged"
"RBX1",0.0540721288555385,"Unchanged"
"EAPP",0.0540556253431926,"Unchanged"
"UQCRC2",0.0540402081189117,"Unchanged"
"NDUFA12",0.0539110227934315,"Unchanged"
"APPL1",0.0538810200150698,"Unchanged"
"NUPR1",0.053755611378839,"Unchanged"
"ATP5C1",0.0537430094544281,"Unchanged"
"ZBTB20",0.0536751033716177,"Unchanged"
"GNB2L1",0.0536666047683416,"Unchanged"
"AK9",0.0536056791280702,"Unchanged"
"DENND1C",0.0535635494509585,"Unchanged"
"CYCS",0.0534561717755411,"Unchanged"
"FABP4",0.0533690560093351,"Unchanged"
"ZBED5-AS1",0.0533414277069376,"Unchanged"
"PCYOX1",0.0532517899551859,"Unchanged"
"RASAL2",0.0532445145708471,"Unchanged"
"MGEA5",0.0532330821487541,"Unchanged"
"AK1",0.0530651916935508,"Unchanged"
"ZNF302",0.0530132297571473,"Unchanged"
"GBAS",0.0529388584960542,"Unchanged"
"PDCD1",0.0529340620323702,"Unchanged"
"HINT1",0.0527821546353288,"Unchanged"
"PPP1R16A",0.0526759721541867,"Unchanged"
"RB1",0.0525638679601365,"Unchanged"
"LINC00920",0.0525450508125203,"Unchanged"
"GRAMD3",0.0525418792766459,"Unchanged"
"CD36",0.0525109485083045,"Unchanged"
"MRPL51",0.0524524973174055,"Unchanged"
"COX7A2",0.0524398505778414,"Unchanged"
"LGALS3",0.0524360517355917,"Unchanged"
