"Gene","Expression"
"MALAT1",511.144511149228
"TTN",80.3057461406518
"RYR2",62.5949113779302
"NEAT1",22.1123499142367
"SLC8A1",21.5870497427101
"FGF12",20.0653230417381
"FHL2",19.0112921669525
"LAMA2",18.4686963979417
"DMD",17.701829616924
"SORBS2",15.2478559176672
"CACNA1C",14.4708404802744
"PDE3A",13.2587192681532
"CTNNA3",12.1693825042882
"PDLIM5",11.1322184105203
"MYH7",10.1522298456261
"TPM1",10.1409376786735
"MYBPC3",9.89908519153802
"PALLD",9.86134934248142
"MLIP",9.27458547741567
"TTN-AS1",9.20797598627787
"SGCD",9.10920526014866
"TNNT2",8.47541452258433
"ABLIM1",8.1628073184677
"PRKG1",7.7257004002287
"CD36",6.89008004574042
"AKAP13",6.74628359062321
"ZBTB20",6.63236134934248
"PDE4DIP",6.55045740423099
"NEBL",6.49442538593482
"MYOM1",6.17038307604345
"RBM20",6.05831903945112
"SORBS1",6.05431675242996
"PPP1R12B",6.00886220697541
"CMYA5",5.98127501429388
"CACNB2",5.73642081189251
"TECRL",5.68453401943968
"NEXN",5.57532875929102
"MAST4",5.53001715265866
"ACTC1",5.43939393939394
"LDB3",5.32061177815895
"CDH2",5.31460834762722
"PDK4",5.16480846197827
"FHOD3",5.16252144082333
"ACTN2",5.03630646083476
"ANKRD1",4.9972841623785
"RP11-532N4.2",4.91795311606632
"LPP",4.78559176672384
"PLCL1",4.63436249285306
"DLG2",4.62764436821041
"CDH13",4.5899085191538
"DES",4.5764722698685
"MYOZ2",4.55360205831904
"PDE1C",4.5125786163522
"DST",4.49299599771298
"EXOC6B",4.48241852487136
"C15orf41",4.48070325900515
"PSD3",4.45611778158948
"SVIL",4.40966266437965
"CAMK2D",4.38321898227559
"AKAP6",4.33404802744425
"PTPRM",4.32275586049171
"RABGAP1L",4.22226986849628
"IL1RAPL1",4.21755288736421
"PCDH7",4.19797026872499
"FILIP1",4.15680388793596
"RCAN2",4.14722698684963
"MAGI1",4.0899085191538
"PCDH9",4.03587764436821
"MT-CO1",4.03130360205832
"MYOM2",3.98584905660377
"PTPRG",3.9082332761578
"MBNL1",3.87578616352201
"CBLB",3.86106346483705
"QKI",3.8084619782733
"THSD4",3.78216123499142
"C9orf3",3.7724413950829
"PAM",3.76915380217267
"DLC1",3.73684962835906
"PXDNL",3.60463121783877
"FHIT",3.58919382504288
"TCAP",3.55617495711835
"FTX",3.53744997141224
"DTNA",3.50886220697541
"PARK2",3.47555746140652
"PLEKHA5",3.42166952544311
"LARGE",3.39651229273871
"CALD1",3.38136077758719
"MYH6",3.35448827901658
"ERBB4",3.34119496855346
"ANK2",3.31375071469411
"TRDN",3.30874785591767
"PDZRN3",3.20526014865638
"RBMS3",3.19982847341338
"SYNPO2",3.17724413950829
"PDE7A",3.14251000571755
"TXNIP",3.0980560320183
"PLCXD3",3.09148084619783
"MEF2A",3.08533447684391
"NLGN1",3.07961692395655
"ZFPM2",3.06132075471698
"CRYAB",3.04845626072041
"PDE4D",2.99313893653516
"ESRRG",2.96640937678674
"HSPB7",2.92738707833047
"MYL3",2.92038307604345
"SOX6",2.90437392795883
"INPP4B",2.9038021726701
"PHACTR1",2.89308176100629
"NFIA",2.85677530017153
"LHFP",2.80703259005146
"CCSER1",2.79545454545455
"N4BP2L2",2.76901086335049
"CH507-528H12.1",2.76457975986278
"SAMD4A",2.73427672955975
"MYL2",2.70568896512293
"ACTA1",2.70168667810177
"DDX17",2.6690966266438
"ZNF638",2.66252144082333
"ATP2A2",2.6609491137793
"ROR1",2.64222412807318
"PPFIBP1",2.61792452830189
"EFNA5",2.5800457404231
"MYO18B",2.56646655231561
"MAP4",2.55674671240709
"TPM2",2.53201829616924
"FBXL7",2.52129788450543
"RNF150",2.51772441395083
"CELF2",2.51057747284162
"PTPRK",2.4775586049171
"LIMCH1",2.46140651801029
"NRAP",2.4379645511721
"FOXP1",2.42967409948542
"PDZD2",2.37507146941109
"MB",2.37021154945683
"LMO7",2.36020583190394
