"gene","kME"
"DARC",0.274221978787692
"DNASE1L3",0.317903717231832
"CCL2",0.22677708664136
"POSTN",0.371716268648191
"CLU",0.354823539795906
"BMX",0.348213226733049
"IGFBP3",0.45465085088389
"ANKRD29",0.219754478419186
"IL6",0.339040622996777
"TBCC",0.220637446356601
"SCGN",0.251904606730082
"GIMAP2",0.263311482598177
"SELP",0.299818927939801
"CA4",0.305980159672692
"RARRES3",0.272455469906853
"GPR146",0.243310021765209
"MAGEH1",0.266996282582766
"EDN1",0.290957774629037
"RNF139",0.258747342690826
"CLEC1A",0.382566188704744
"FCN3",0.258610015792055
"DOLK",0.179918610535014
"CFI",0.407846701178952
"PLAT",0.398080314743669
"TMEM22",0.385874915507935
"SNORA24",0.285973258839193
"ZNF32",0.224857598165567
"NINJ2",0.330912505138941
"CLIC3",0.319730225842018
"TMEM85",0.380399448806759
"CD9",0.587149821269676
"CDA",0.277287006189839
"CRYL1",0.233487971664536
"TOR1A",0.326473483741897
"MT1A",0.364364841675392
"BRIX1",0.282630128161275
"MIR3064",0.302984513090289
"ANXA1",0.388402753443162
"PPT1",0.313585987062913
"MKRN2",0.215443717251042
"C5orf56",0.238115852804513
"NUDCD2",0.241014596435622
"SSSCA1",0.290622178506015
"TSPAN7",0.612698132479389
"JAGN1",0.237995342648916
"TAGLN",0.280520432039487
"LRRC70",0.291182819317956
"GLOD4",0.256181406405901
"FAM162B",0.202875707948822
"PGRMC1",0.371267271761031
"CAT",0.237407158959197
"PGF",0.189505245265703
"SERPINI1",0.279726622496233
"DHRS7",0.328073244219275
"PDE6D",0.251109717400722
"LTV1",0.289884171476334
"MANSC1",0.281272829321456
"HEY1",0.32895230622154
"LOC643733",0.30754587709698
"TM9SF1",0.298754983394463
"IFNGR1",0.649097879838422
"PSMD6",0.329235881526746
"TMEM9B",0.306703559183025
"ARMCX1",0.237717762420373
"SERTAD1",0.332913688027856
"HERPUD1",0.51342641273092
"EIF6",0.288134909250285
"TM2D3",0.314328962818282
"TCN2",0.318682060975781
"EIF2B2",0.169758911742002
"CYP4B1",0.302015842113072
"LOC152217",0.226839490019448
"HLA-DRB5",0.345948529529446
"SEC11C",0.256343117390837
"ACTA2",0.337587493542765
"TPPP3",0.272643693696395
"PRCP",0.442250391934162
"HIST1H4C",0.286939297894015
"TNFRSF4",0.196942297514611
"PROCR",0.314718819258284
"PRAF2",0.296101364596568
"CD320",0.272870596792782
"JKAMP",0.295952736898204
"TM6SF1",0.375146103116432
"DDB2",0.201314409479559
"FHL5",0.223060868310083
"COMMD1",0.208903955920308
"MPV17",0.276100549702497
"STC1",0.388091377669007
"ARPC1B",0.233612588024454
"PTRH2",0.226859686570146
"GPER",0.166910982910271
"PRKRA",0.219794699212435
"TRIAP1",0.253872960997617
"C16orf80",0.362902693735822
"POLR2H",0.23686198423817
"PAK1IP1",0.254746703444816
"TCEAL1",0.277806837173073
"DNAJB11",0.205097474617836
"DDX47",0.236629154709557
"MRPL40",0.194067417910157
"DUSP23",0.391976609136077
"TINF2",0.248383217475368
"NRM",0.223855649711301
"ALG5",0.270752712723368
"PON2",0.425949255907202
"DGUOK",0.236829040439906
"HLA-DMB",0.324752688831019
"ARL1",0.19371635008945
"SH3BGRL3",0.317939971213988
"C19orf10",0.256277388105524
"NDUFS3",0.202533293392886
"TSPAN31",0.272468976058227
"TSPAN6",0.397025800309849
"GSTA4",0.214607611828833
"CTSO",0.355633468284405
"ODF3B",0.284472018936491
"FLYWCH2",0.180750492174453
"FOS",0.449089609165632
"NXT1",0.301115206769475
"ELOVL1",0.34448053283734
"PSMC4",0.244579416734225
"MITD1",0.242413076194698
"PRDX4",0.280034581839082
"ZFAND1",0.254445607053643
"MED10",0.24666739691325
"CNIH4",0.29752763030517
"PRSS23",0.426809522882439
"GPN1",0.230954208990081
"ECD",0.182919624997241
"TMEM60",0.236560345995893
"GATSL3",0.280598656713097
"MANBAL",0.183103566243235
"IFIT1",0.431188776099532
"SRGN",0.606884894134218
"HYAL2",0.563054623438104
"TIMP4",0.483281506768746
"DEGS1",0.322663915214384
"IFIT2",0.302634092041771
"CD58",0.458223244463593
"ZNF22",0.311144658466916
"AGT",0.324619382999586
"IMP3",0.310908134934243
"SF3B5",0.230101322280676
"ZMYM6NB",0.474714887827806
"RBP1",0.19702494617656
"EFNA1",0.462437450581634
"CXCR7",0.251944632878276
"LOC550643",0.399230756822526
"INSIG2",0.175055195519417
"NIPSNAP3A",0.278188181098319
"MRPL18",0.19145100045057
"ATF3",0.222326828228178
"TMEM11",0.258712447954719
"BCAS2",0.293226835179731
"EXOSC9",0.221632139452589
"CLDN5",0.271550839045735
"DDIT4",0.420968545890138
"CYB5A",0.376596404043958
"LXN",0.293575555284171
"LMCD1",0.227514240753237
"MT1M",0.475466896882705
"MORF4L2",0.363993320950599
"SDCBP",0.434280395597623
"PIGK",0.17053689002812
"C6orf72",0.354615350169991
"C10orf10",0.275982176327132
"HLA-DRA",0.62089557338103
"PEX11B",0.243698062413303
"SLC35A1",0.247579581573216
"MRPL50",0.234312503870603
"PDCD6",0.368231594588489
"C10orf128",0.271534759111904
"DHPS",0.192763945048395
"HAX1",0.233041084457488
"COPS5",0.221247338027198
"TMEM199",0.235639519542206
"SIVA1",0.238335272074011
"C13orf15",0.550077911081333
"IFIT5",0.253905924140544
"MIEN1",0.308526300976644
"PLVAP",0.365087695035894
"LOC158376",0.305329728818333
"SELENBP1",0.215870885599066
"PDIA4",0.214067696039483
"TCEAL8",0.377135546363224
"INPP1",0.291907526391141
"HSPB11",0.241141216958111
"OXA1L",0.264599725584824
"NGRN",0.213277841604279
"NOP10",0.282310991977049
"NSMCE4A",0.261164476020728
"TSG101",0.28077117024759
"STRA13",0.232925292899843
"PELO",0.280017108998833
"FAM32A",0.293390622656381
"UNC50",0.287396403352173
"C6orf115",0.265437517289443
"NIP7",0.280955320850255
"ECSCR",0.561080559676607
"MEA1",0.231662223506421
"TMEM111",0.237258444354672
"C5orf32",0.282766133514933
"TPD52L1",0.3523709653394
"NDUFS4",0.211459819579141
"PSMB6",0.338138292182098
"C15orf24",0.346586375779603
"CCDC92",0.212440746445571
"TM4SF1",0.640962782307511
"MRPL14",0.192071379541312
"CCDC56",0.269392702807873
"PTPLAD1",0.250261330872404
"PCNA",0.25128546107403
"ADIPOR1",0.223467013409312
"ANAPC13",0.262372685867526
"C1orf123",0.289125825582784
"ZFYVE21",0.375440249568317
"SLC10A3",0.224930618312013
"TFG",0.222963650915465
"WDR61",0.304349010424224
"THBD",0.510284907023379
"FBXO7",0.270531513158079
"PSMD10",0.310937476340898
"OST4",0.177708962472609
"SEC13",0.22080130675795
"MYC",0.334956493538334
"PRKCH",0.363648626122964
"TMEM88",0.59473190492283
"CCDC3",0.236408133395536
"C1GALT1C1",0.317920359639395
"PSMB5",0.298822712293126
"CNIH",0.208715189139997
"ACTR6",0.276127202241846
"NECAP2",0.263140805604113
"NCK1",0.43486524003276
"CTSL1",0.308627484167057
"MRPL32",0.31436219617288
"NDUFB7",0.145293408517234
"UQCRC2",0.28723943609653
"COX4I1",0.11040702197505
