"Module","Control_mean","HF_mean","p_value","log_p","Cohen_d","Sig"
"yellow",0.4018,-0.0562,9.17684439561983e-46,45.037306632216,-3.615,"***"
"turquoise",-0.0065,-0.0247,1.73997479779274e-24,23.759457042096,-1.119,"***"
"brown",-0.0317,0.0914,5.87846139366713e-16,15.2307363296517,0.884,"***"
"red",-0.061,0.0714,1.71322304131374e-05,4.76618609336482,0.508,"***"
"darkorange",0.0066,0,0.000228461657048857,3.64118667756085,-0.07,"***"
"blue",0.0028,-0.0023,0.00141233785719473,2.85006139962717,-0.19,"**"
"green",-0.0047,-0.0106,0.00205591580510403,2.6869946747582,-0.078,"**"
"tan",0.0036,-0.0011,0.00457144373314245,2.33994662130484,-0.049,"**"
"lightgreen",-7e-04,-4e-04,0.0598458954647678,1.22296563035581,0.004,"ns"
"white",-8e-04,-0.0011,0.0639316301140443,1.19428422188385,-0.003,"ns"
"royalblue",-0.001,-0.0029,0.105694298893845,0.975948437723026,-0.018,"ns"
"darkred",-1e-04,-5e-04,0.11086685575811,0.955198269114872,-0.004,"ns"
"midnightblue",-0.0011,2e-04,0.151584996771159,0.819343781170585,0.013,"ns"
"salmon",-0.0066,-4e-04,0.161634961388709,0.791464696185258,0.063,"ns"
"black",-2e-04,1e-04,0.236712517016701,0.625778776597512,0.003,"ns"
"orange",-0.0027,-6e-04,0.283770693991022,0.547032457698725,0.021,"ns"
"darkgrey",-9e-04,-3e-04,0.299490908150895,0.523616357247392,0.005,"ns"
"grey60",-5e-04,-9e-04,0.32227117069387,0.491778543288688,-0.007,"ns"
"magenta",-4e-04,-6e-04,0.394016783513037,0.404485278601187,-0.002,"ns"
"lightcyan",-0.0062,3e-04,0.471916731636639,0.32613462463067,0.064,"ns"
"cyan",-0.0033,-1e-04,0.519395366586541,0.284501928936352,0.036,"ns"
"pink",-0.0071,-5e-04,0.53310117571191,0.273190359672313,0.064,"ns"
"lightyellow",-0.003,-4e-04,0.580505081331564,0.236193974401547,0.026,"ns"
"darkgreen",-0.0076,0.0012,0.633869025824471,0.19800046962284,0.093,"ns"
"purple",-0.0048,-3e-04,0.681724815781869,0.166390896758517,0.052,"ns"
"greenyellow",-0.0035,-1e-04,0.854343442653262,0.0683675095624744,0.036,"ns"
"darkturquoise",-0.004,-5e-04,0.949516304774996,0.0224975733039913,0.034,"ns"
