"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","source_cluster","target_cluster","source_NDUFB7","target_NDUFB7","direction"
"C8","C8","PECAM1","PECAM1",0.15482596154358,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514",7,7,NA,NA,NA
"C8","C3","PECAM1","PECAM1",0.112213705872428,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514",7,2,NA,2.26729485084923,NA
"C3","C8","PECAM1","PECAM1",0.112213705872428,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514",2,7,2.26729485084923,NA,NA
"C3","C3","PECAM1","PECAM1",0.0802163651689174,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514",2,2,2.26729485084923,2.26729485084923,"Same"
"C8","C4","PECAM1","PECAM1",0.0530000270766028,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514",7,3,NA,0,NA
"C4","C8","PECAM1","PECAM1",0.0530000270766028,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514",3,7,0,NA,NA
"C8","C2","PECAM1","PECAM1",0.0414784787068485,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514",7,1,NA,2.41739609984174,NA
"C2","C8","PECAM1","PECAM1",0.0414784787068485,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514",1,7,2.41739609984174,NA,NA
"C4","C3","PECAM1","PECAM1",0.037180137984815,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514",3,2,0,2.26729485084923,"Low→High"
"C3","C4","PECAM1","PECAM1",0.037180137984815,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514",2,3,2.26729485084923,0,"High→Low"
