"source","target","ligand","receptor","prob","pval"
"C8","C7","ANXA1","FPR1",0.186915519353237,0
"C8","C8","PECAM1","PECAM1",0.15482596154358,0
"C4","C7","ANXA1","FPR1",0.135568437110377,0
"C3","C7","ANXA1","FPR1",0.114090415015888,0
"C8","C3","PECAM1","PECAM1",0.112213705872428,0
"C3","C8","PECAM1","PECAM1",0.112213705872428,0
"C3","C3","ESAM","ESAM",0.107013465345358,0
"C8","C8","APP","CD74",0.0965504480607436,0
"C8","C3","ESAM","ESAM",0.0961180160860654,0
"C3","C8","ESAM","ESAM",0.0961180160860654,0
