"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.57184629394621e-25,-1.86145977451131,0.292,0.995,3.67104701951138e-21,"GAPDH"
1.74115024063658e-24,-3.57205975209431,0.479,1,4.06645638700672e-20,"B2M"
5.41036328741628e-24,-1.50703932850314,0.208,0.981,1.26359034577607e-19,"FTH1"
1.00269492974968e-23,-2.47620913986853,0.354,0.995,2.34179400843039e-19,"TMSB4X"
2.58919674188761e-23,-3.45412183690079,0.354,0.99,6.04706899067851e-19,"MYL2"
3.95925125138231e-23,-2.74871869665921,0.229,0.951,9.24683129760338e-19,"HSPB1"
4.96430368795268e-23,-2.94796923174855,0.292,0.99,1.15941312632135e-18,"MYL12A"
7.51799860198917e-23,-2.56880452107783,0.438,0.988,1.75582857349457e-18,"IFITM3"
8.23610989722383e-23,-2.45705911653713,0.604,1,1.92354346649662e-18,"TMSB10"
1.08170681780165e-22,-2.51981832382104,0.292,0.968,2.52632627297576e-18,"EIF1"
1.19369281184511e-22,-2.83758553875049,0.292,0.98,2.78786956206426e-18,"LGALS1"
1.75980499348829e-22,-2.52292420674169,0.292,0.971,4.1100245622919e-18,"ATP5I"
1.79733324901991e-22,-2.79202285638204,0.292,0.968,4.19767180308599e-18,"COX4I1"
2.71025296775761e-22,-3.11494927886487,0.229,0.959,6.32979580619789e-18,"TNNC1"
3.45084430931136e-22,-1.540930806833,0.479,0.995,8.05944688439668e-18,"SERF2"
5.17043165392152e-22,-2.27263325269893,0.125,0.917,1.20755431277337e-17,"ATP5J"
7.97093106749623e-22,-2.06296371314069,0.188,0.966,1.86161095081375e-17,"COX7C"
1.20489658797524e-21,-1.92176071912847,0.229,0.932,2.81403598121616e-17,"RHOA"
2.20250671985021e-21,-3.14086212007988,0.583,0.985,5.14395444421017e-17,"TNNT2"
2.9809593735249e-21,-2.77466791265492,0.083,0.869,6.9620306168674e-17,"SOD1"
