"sample","NDUFB7"
"GSM1379812",8.305759761
"GSM1379813",7.895386772
"GSM1379814",7.914185696
"GSM1379815",6.616121839
"GSM1379816",7.499801231
"GSM1379817",7.74735325
"GSM1379818",8.053722215
"GSM1379819",7.960013901
"GSM1379820",8.328664285
"GSM1379821",8.154379621
"GSM1379822",7.56551103
"GSM1379823",7.970809652
"GSM1379824",8.304608727
"GSM1379825",7.839760557
"GSM1379826",7.665980597
"GSM1379827",7.792252562
"GSM1379828",8.017981161
"GSM1379829",7.601362394
"GSM1379830",7.841751165
"GSM1379831",8.445401561
"GSM1379832",8.367818178
"GSM1379833",7.986365169
"GSM1379834",7.94371865
"GSM1379835",8.164917825
"GSM1379836",7.737383099
"GSM1379837",8.113795529
"GSM1379838",8.015121329
"GSM1379839",7.80182218
"GSM1379840",7.693319367
"GSM1379841",7.904527183
"GSM1379842",7.907928682
"GSM1379843",7.982108906
"GSM1379844",8.308319668
"GSM1379845",8.164324724
"GSM1379846",7.913709637
"GSM1379847",7.415593227
"GSM1379848",8.016793113
"GSM1379849",7.875747018
"GSM1379850",7.931202334
"GSM1379851",8.132778538
"GSM1379852",8.180927612
"GSM1379853",7.975618283
"GSM1379854",8.13909509
"GSM1379855",7.446620966
"GSM1379856",7.905127761
"GSM1379857",7.839261394
"GSM1379858",7.449506683
"GSM1379859",7.670278325
"GSM1379860",7.962022731
"GSM1379861",7.703957983
"GSM1379862",7.593502975
"GSM1379863",8.179840549
"GSM1379864",7.777795756
"GSM1379865",7.659384516
"GSM1379866",8.018087022
"GSM1379867",8.580296555
"GSM1379868",8.019673419
"GSM1379869",8.025978379
"GSM1379870",7.808124954
"GSM1379871",8.101373182
"GSM1379872",8.07720696
"GSM1379873",8.021896703
"GSM1379874",7.774385882
"GSM1379875",8.238325446
"GSM1379876",7.894371193
"GSM1379877",7.703613538
"GSM1379878",7.991050686
"GSM1379879",8.055956537
"GSM1379880",8.157123992
"GSM1379881",7.926069023
"GSM1379882",7.565125313
"GSM1379883",8.049711973
"GSM1379884",7.541784088
"GSM1379885",8.459272675
"GSM1379886",7.733072719
"GSM1379887",7.178599669
"GSM1379888",7.882360804
"GSM1379889",8.106700226
"GSM1379890",8.036137051
"GSM1379891",7.854864315
"GSM1379892",7.841961409
"GSM1379893",8.085587299
"GSM1379894",8.011436693
"GSM1379895",7.719382761
"GSM1379896",8.010474523
"GSM1379897",7.554012298
"GSM1379898",8.501090856
"GSM1379899",7.770275949
"GSM1379900",8.255160722
"GSM1379901",7.468156497
"GSM1379902",8.030200027
"GSM1379903",7.861904789
"GSM1379904",7.482992002
"GSM1379905",7.882216078
"GSM1379906",7.785458036
"GSM1379907",7.738851599
"GSM1379908",7.932681259
"GSM1379909",7.799548852
"GSM1379910",8.100235127
"GSM1379911",7.390739695
"GSM1379912",7.818828977
"GSM1379913",7.896867915
"GSM1379914",7.860270131
"GSM1379915",7.89850053
"GSM1379916",8.250565377
"GSM1379917",7.648051711
"GSM1379918",7.703913315
"GSM1379919",7.596121143
"GSM1379920",7.727329951
"GSM1379921",7.574861809
"GSM1379922",7.986628193
"GSM1379923",7.569565462
"GSM1379924",8.226492534
"GSM1379925",7.523125606
"GSM1379926",7.783259345
"GSM1379927",7.460259529
"GSM1379928",7.804816764
"GSM1379929",8.097997327
"GSM1379930",8.373490224
"GSM1379931",7.716849841
"GSM1379932",7.71732732
"GSM1379933",7.702231998
"GSM1379934",7.851637036
"GSM1379935",7.690254651
"GSM1379936",8.003913225
"GSM1379937",7.722333322
"GSM1379938",7.350713899
"GSM1379939",7.80719251
"GSM1379940",7.973474957
"GSM1379941",8.07672462
"GSM1379942",7.721752847
"GSM1379943",8.035669065
"GSM1379944",7.768467391
"GSM1379945",7.845508467
"GSM1379946",7.637357217
"GSM1379947",7.876690304
"GSM1379948",7.502120291
"GSM1379949",7.728536888
"GSM1379950",8.036186524
"GSM1379951",7.247095259
"GSM1379952",7.389131197
"GSM1379953",7.971769722
"GSM1379954",7.756020644
"GSM1379955",8.258996362
"GSM1379956",7.848080535
"GSM1379957",7.885349638
"GSM1379958",8.087557817
"GSM1379959",8.049895897
"GSM1379960",8.018842914
"GSM1379961",8.102716313
"GSM1379962",7.652074409
"GSM1379963",8.0068001
"GSM1379964",8.192246877
"GSM1379965",7.832813787
"GSM1379966",7.97878612
"GSM1379967",7.95032662
"GSM1379968",7.808672929
"GSM1379969",7.568482921
"GSM1379970",7.763784629
"GSM1379971",7.966256628
"GSM1379972",7.774465521
"GSM1379973",7.763206619
"GSM1379974",7.500313642
"GSM1379975",8.213261211
"GSM1379976",7.81955107
"GSM1379977",7.821557468
"GSM1379978",8.05408849
"GSM1379979",8.048015947
"GSM1379980",7.740059614
"GSM1379981",8.255381264
"GSM1379982",7.674575968
"GSM1379983",7.569483498
"GSM1379984",7.941136572
"GSM1379985",7.394810167
"GSM1379986",8.05204321
"GSM1379987",7.920963651
"GSM1379988",8.030584084
"GSM1379989",8.107653439
"GSM1379990",7.930569726
"GSM1379991",7.835841741
"GSM1379992",7.808061577
"GSM1379993",7.151467994
"GSM1379994",7.771603158
"GSM1379995",7.802796258
"GSM1379996",7.587104844
