"Sample","Disease","NDUFB7","Ferroptosis_Score"
"GSM1379812","DCM",8.305759761,-0.170916366979507
"GSM1379813","ICM",7.895386772,-0.462886873127005
"GSM1379814","ICM",7.914185696,-0.613987780631995
"GSM1379815","ICM",6.616121839,2.64996961981355
"GSM1379816","DCM",7.499801231,0.21593572554398
"GSM1379817","DCM",7.74735325,-0.444239432809759
"GSM1379818","DCM",8.053722215,0.254058376107793
"GSM1379819","ICM",7.960013901,0.0519934199363269
"GSM1379820","DCM",8.328664285,-0.511394907024856
"GSM1379821","ICM",8.154379621,-0.25586573905665
"GSM1379822","ICM",7.56551103,-0.22180538020477
"GSM1379823","ICM",7.970809652,-0.00301982190002173
"GSM1379824","ICM",8.304608727,0.0065769844353588
"GSM1379825","ICM",7.839760557,-0.0954678504900156
"GSM1379826","ICM",7.665980597,0.0255171940088189
"GSM1379827","DCM",7.792252562,-0.430424275517937
"GSM1379828","ICM",8.017981161,-0.36455995339084
"GSM1379829","ICM",7.601362394,-0.336669405211083
"GSM1379879","DCM",8.055956537,-0.0358620507117955
"GSM1379916","DCM",8.250565377,-0.307887194186749
"GSM1379917","DCM",7.648051711,-0.17474058149254
"GSM1379928","ICM",7.804816764,0.545855317031063
"GSM1379929","DCM",8.097997327,0.604132509856465
"GSM1379930","ICM",8.373490224,0.295652533290773
"GSM1379931","DCM",7.716849841,-0.317145279027907
"GSM1379932","DCM",7.71732732,-0.381645715303342
"GSM1379933","ICM",7.702231998,0.478376188509358
"GSM1379934","DCM",7.851637036,-0.693296568999595
"GSM1379935","DCM",7.690254651,-0.381860322269527
"GSM1379936","DCM",8.003913225,-0.577447688237198
"GSM1379937","DCM",7.722333322,-0.349313769300527
"GSM1379938","ICM",7.350713899,0.485463926135153
"GSM1379939","DCM",7.80719251,-0.0477238313616216
"GSM1379940","DCM",7.973474957,0.00628706840751143
"GSM1379941","DCM",8.07672462,0.143418896392942
"GSM1379942","DCM",7.721752847,-0.0961468748163039
"GSM1379943","ICM",8.035669065,-0.125515634722139
"GSM1379944","DCM",7.768467391,-0.178880574959922
"GSM1379945","ICM",7.845508467,-0.436429755324321
