Sample_Index,ACSL4,GPX4,ACSL4_GPX4_Ratio,NDUFB7
1,8.93033,10.4187,0.8571,8.04963
2,8.6931,10.3996,0.8358,7.99339
3,9.08661,10.5985,0.8573,8.03435
4,8.26456,9.73104,0.8492,7.85886
5,8.67413,10.3036,0.8418,7.98419
6,8.50806,10.358,0.8213,7.95897
7,8.20091,9.99944,0.8201,7.89965
8,8.9878,10.0258,0.8964,7.73892
9,8.76482,10.4466,0.8389,8.08868
10,8.4993,10.3405,0.8219,8.12037
11,8.46287,10.4892,0.8067,7.996
12,9.28116,9.93614,0.934,7.72186
13,9.21487,10.3249,0.8924,7.74395
14,9.01287,10.504,0.858,8.06061
15,8.97157,10.2616,0.8742,7.61204
16,8.65443,10.2114,0.8474,8.05356
17,8.86384,10.4726,0.8463,8.21223
18,8.93426,10.6649,0.8376,8.04208
19,8.85138,10.4364,0.848,7.96175
20,8.94149,10.548,0.8476,7.95647
21,8.69948,10.4494,0.8325,8.0392
22,8.38773,9.8798,0.8489,7.98595
23,8.94546,9.94987,0.899,7.93924
24,8.58185,9.85869,0.8704,8.03828
25,8.91223,9.6923,0.9194,8.07935
26,9.12881,10.4887,0.8703,7.90809
27,8.93762,10.2217,0.8743,7.82708
28,8.84915,10.5128,0.8417,8.0365
29,8.85971,9.9686,0.8887,7.85623
30,8.91041,9.67633,0.9208,7.81127
31,8.87773,9.78448,0.9072,7.7813
32,8.59805,10.1711,0.8453,8.24767
33,8.7455,9.76294,0.8957,7.88796
34,8.92629,10.8076,0.8259,8.20369
35,9.1516,10.1225,0.904,7.91252
36,8.85682,10.43,0.8491,7.99323
37,8.84054,10.3026,0.858,8.02596
38,8.69114,10.7491,0.8085,8.0072
39,8.7102,10.1091,0.8615,7.85582
40,8.43273,10.241,0.8233,7.98894
41,8.75135,10.463,0.8363,8.18069
42,8.6558,10.3643,0.8351,7.86576
43,8.53001,10.028,0.8505,8.04462
44,9.09268,10.3705,0.8767,8.08076
45,9.0178,10.6892,0.8436,8.20442
46,9.16334,10.6625,0.8593,8.03834
