"Gene","ACSL4","GPX4","SLC7A11","TP53","BAX","BAK1","CASP3","CASP8","CASP9","PARP1","MLKL","RIPK3","RIPK1","PGAM5","GSDMD","IL1B"
"NDUFB7",-0.13642923894038,0.130806486202184,-0.18329986084,-0.420580965604469,-0.13564343106884,0.0056012291162166,-0.277623807787012,-0.318715532854439,0.145974378280396,0.19314672222631,-0.34653970599515,-0.299315705356486,-0.23926440869523,0.03054515328587,-0.0442952226951332,-0.102331125661949
"NDUFB8",-0.0324556652521081,0.0708851139499681,-0.206930841080533,-0.37994123659861,-0.285658771541232,-0.0478951463058421,-0.229132652821629,-0.377072724796621,0.261470916499304,0.288973800664649,-0.432575493125747,-0.347737202054371,-0.32932941786038,0.0732212167754738,-0.101492878420495,-0.0384979329496128
"NDUFB9",-0.143418546004981,0.145689092454523,-0.0260392778707424,-0.290484758927607,-0.206247563917331,0.0421952998671014,-0.259121710994892,-0.295453976234791,0.143101953092592,0.254233892112649,-0.271172199933316,-0.307028988796759,-0.117900922463304,0.0799183902442417,-0.129002024003143,0.00061635826577525
"NDUFB10",-0.327829417077703,0.255870861398832,-0.0891199264909609,-0.346966656387507,-0.113263951611767,0.151538430231375,-0.326659314719183,-0.351644326451514,0.193822955295046,0.313037992714841,-0.29417508175063,-0.267344517268206,-0.160658967210523,0.19198700912318,-0.160990822327588,-0.144907589307378
"NDUFB11",-0.163609268776034,0.350893739052303,0.00884894800362536,-0.225668915037263,-0.0383820967295052,0.155232275101631,-0.176139147476727,-0.439860652157919,0.0124727432678024,0.0206501542656688,-0.251006522831476,-0.168665363248298,-0.451526846609364,0.193349845866394,0.0401356849129585,-0.00221380235523212
"NDUFS1",-0.195567151352544,-0.120147205920796,-0.360707727997771,-0.520808646391154,-0.58307609343913,-0.219857537102811,-0.361278299649517,-0.225786707950278,0.378782483058953,0.525473010943392,-0.424416475041208,-0.331221931240246,-0.158268671155059,-0.0691481644213127,-0.252456040937146,-0.109496143749618
"NDUFS2",-0.233231141785099,0.0152348109756384,-0.275327824329676,-0.424497873466148,-0.311980595867778,-0.0828045044636078,-0.323788846224287,-0.300276832912514,0.390180219243527,0.473326362288736,-0.406676314467161,-0.318509297422018,-0.162295545158124,0.0620940901313502,-0.174827771890306,-0.0876590595664282
"NDUFS3",-0.156198098720636,0.0954103028491014,-0.252137882670432,-0.393211527895397,-0.366047542941583,-0.042191386481287,-0.262689153503341,-0.296813877805311,0.365958709083595,0.466514722940111,-0.419861685291774,-0.377241000386642,-0.242914032305783,0.0264887328230475,-0.246912338592402,-0.109300474458896
"NDUFS4",0.1076110658028,-0.212925756809683,-0.13757507830685,-0.336911602875869,-0.473163174100273,-0.121363094893345,-0.0940656634832577,-0.143279620808568,0.23894468507419,0.289208212474935,-0.296347010877647,-0.304224656522127,-0.0403552258571489,-0.169922750734812,-0.184105235640613,-0.0813381587989349
"NDUFS7",-0.329025739121179,0.150007122362182,-0.165401990817632,-0.304471199828437,-0.150735012123669,-0.0615873005934258,-0.364991320110264,-0.319460250174928,0.271640240876724,0.340584706801308,-0.310881717131081,-0.17662205928623,-0.170886992375159,0.0167078110307987,-0.109999405165356,-0.0757455391315101
"NDUFS8",-0.277430877866359,0.224514857560583,-0.104359042190995,-0.276181725114388,-0.118136116950752,0.0661526564845586,-0.284590417213888,-0.382679432652978,0.16715440498534,0.208666819027821,-0.342552357188811,-0.260440130675779,-0.317070345458046,0.133271540965278,-0.0281309825885638,-0.102335430386345
"NDUFA2",-0.275523493620398,0.252145318103479,-0.146474508987482,-0.383133385407454,-0.208118945013799,0.104713594945784,-0.258894734617654,-0.326145487161746,0.236872938624022,0.32340768244596,-0.312891632085381,-0.332342333598922,-0.308953983278885,0.191291600395918,-0.17540303960503,-0.0524288037718778
"NDUFA3",-0.282486189661461,-0.0318760928129887,-0.179901476598736,-0.384185303514377,-0.224699960709606,-0.0751968824403248,-0.405431857778167,-0.272617021976009,0.235605001620142,0.284328220364321,-0.30485118959102,-0.208905535562502,-0.0603929352428569,-0.0198164093566326,-0.102400392590865,-0.176982873458322
"NDUFA9",-0.198272474966071,-0.00176885038812961,-0.40672210108119,-0.47560043078551,-0.519736770016577,-0.176038182122714,-0.325687229682875,-0.291617684120889,0.3339076879247,0.415628184517707,-0.458477802492983,-0.36567577128921,-0.314353673025658,0.028902118090929,-0.240413378770352,-0.0916871075852374
"NDUFA10",-0.139721570426074,-0.147939289297829,-0.378880709042895,-0.46038949146334,-0.456733606435485,-0.152691313692311,-0.345558228832887,-0.21090684106801,0.456786045805398,0.404735666441777,-0.437275469488896,-0.238857807909109,-0.114370657120092,-0.0721094237568178,-0.283210557375715,-0.112128678386996
"NDUFA13",-0.161553567207705,0.099418392600257,-0.0481534297695955,-0.330364899746882,-0.0728077604006055,0.0048799921106142,-0.285762084926734,-0.314111043105162,0.156057216831316,0.138456764130845,-0.28908220145171,-0.162628965629515,-0.15259621841702,0.0493297983715815,0.0211056723744703,-0.0734624698473623
