"sample","group","NDUFB7"
"Common_name","Other",457.564
"NF10","NF",438.951
"NF11","NF",458.073
"NF12","NF",598.676
"NF13","NF",584.148
"NF14","NF",525.814
"NF1","NF",602.711
"NF3","NF",463.585
"NF5","NF",548.13
"NF7","NF",403.037
"NF15","NF",490.104
"NF2","NF",496.451
"NF4","NF",560.372
"NF6","NF",550.97
"NF8","NF",654.785
"DCM8","DCM",550.609
"DCM14","DCM",523.286
"DCM12","DCM",570.877
"DCM13","DCM",634.074
"DCM11","DCM",535.297
"DCM17","DCM",530.428
"DCM16","DCM",630.497
"DCM18","DCM",403.414
"DCM19","DCM",776.04
"DCM21","DCM",549.685
"DCM20","DCM",587.925
"DCM22","DCM",577.317
"DCM24","DCM",574.863
"DCM26","DCM",629.043
"DCM28","DCM",652.996
"DCM29","DCM",495.629
"DCM2","DCM",752.081
"DCM31","DCM",616.291
"DCM32","DCM",704.105
"DCM33","DCM",574.982
"DCM34","DCM",428.032
"DCM35","DCM",642.919
"DCM38","DCM",542.609
"DCM39","DCM",535.376
"DCM3","DCM",525.553
"DCM43","DCM",582.559
"DCM44","DCM",557.287
"DCM46","DCM",728.995
"ICM47","ICM",684.844
"ICM49","ICM",564.872
"DCM4","DCM",529.796
"ICM50","ICM",579.149
"ICM52","ICM",733.779
"ICM53","ICM",583.88
"ICM54","ICM",538.7
"ICM55","ICM",465.942
"ICM56","ICM",507.796
"ICM58","ICM",571.259
"ICM59","ICM",590.743
"ICM61","ICM",823.169
"ICM63","ICM",525.646
"ICM64","ICM",621.018
"DCM6","DCM",514.606
"DCM72","DCM",464.811
"DCM73","DCM",570.626
"DCM74","DCM",614.377
"DCM75","DCM",624.585
"DCM76","DCM",996.467
"DCM77","DCM",476.474
