"GSM","NDUFB7","HF_Status"
"GSM1448346",7.72186,"HF"
"GSM1448425",8.05254,"HF"
"GSM1448442",8.47527,"HF"
"GSM1448446",7.93618,"non-HF"
"GSM1448455",8.11837,"HF"
"GSM1448463",7.77676,"non-HF"
"GSM1448512",7.88876,"non-HF"
"GSM1448545",7.98605,"non-HF"
"GSM1448554",7.97083,"non-HF"
"GSM1448558",8.13796,"non-HF"
"GSM1448662",7.78021,"HF"
"GSM1448666",8.04036,"HF"
"GSM1448672",7.51054,"non-HF"
"GSM1448676",7.83432,"non-HF"
"GSM1448684",8.31041,"HF"
"GSM1448692",7.99065,"HF"
"GSM1448714",8.1737,"HF"
