Gene1	Gene2	Correlation	Type
NDUFB8	NDUFB8	1	B-B
NDUFV1	NDUFB8	0.688358885597985	B-Ref
NDUFC2	NDUFB8	0.490995528827789	B-Ref
NDUFA9	NDUFB8	0.707248096545409	B-Ref
NDUFB1	NDUFB8	0.561385206046929	B-B
NDUFB10	NDUFB8	0.552508310154436	B-B
NDUFB7	NDUFB8	0.594722456012646	B-B
NDUFB3	NDUFB8	0.466735766655046	B-B
NDUFB4	NDUFB8	0.631077276548431	B-B
NDUFB5	NDUFB8	0.61917089270177	B-B
NDUFS4	NDUFB8	0.546523615979076	B-Ref
NDUFB2	NDUFB8	0.600539893766098	B-B
NDUFB9	NDUFB8	0.689240534402713	B-B
NDUFB6	NDUFB8	0.605685973146112	B-B
NDUFB11	NDUFB8	0.629707140915783	B-B
NDUFB8	NDUFV1	0.688358885597985	B-Ref
NDUFV1	NDUFV1	1	Ref-Ref
NDUFC2	NDUFV1	0.46771346408498	Ref-Ref
NDUFA9	NDUFV1	0.657379845565405	Ref-Ref
NDUFB1	NDUFV1	0.634461200937128	B-Ref
NDUFB10	NDUFV1	0.735817749415191	B-Ref
NDUFB7	NDUFV1	0.702245357104069	B-Ref
NDUFB3	NDUFV1	0.367161563528216	B-Ref
NDUFB4	NDUFV1	0.705495678759364	B-Ref
NDUFB5	NDUFV1	0.532366916843275	B-Ref
NDUFS4	NDUFV1	0.398797797398928	Ref-Ref
NDUFB2	NDUFV1	0.651832796810618	B-Ref
NDUFB9	NDUFV1	0.662579573777233	B-Ref
NDUFB6	NDUFV1	0.548296329117375	B-Ref
NDUFB11	NDUFV1	0.542089678903961	B-Ref
NDUFB8	NDUFC2	0.490995528827789	B-Ref
NDUFV1	NDUFC2	0.46771346408498	Ref-Ref
NDUFC2	NDUFC2	1	Ref-Ref
NDUFA9	NDUFC2	0.504982340431718	Ref-Ref
NDUFB1	NDUFC2	0.541530571379089	B-Ref
NDUFB10	NDUFC2	0.406367518910998	B-Ref
NDUFB7	NDUFC2	0.285952096638869	B-Ref
NDUFB3	NDUFC2	0.306695616184659	B-Ref
NDUFB4	NDUFC2	0.531659945693317	B-Ref
NDUFB5	NDUFC2	0.590242784302511	B-Ref
NDUFS4	NDUFC2	0.310498621995813	Ref-Ref
NDUFB2	NDUFC2	0.514287720700644	B-Ref
NDUFB9	NDUFC2	0.574710433841837	B-Ref
NDUFB6	NDUFC2	0.631901847137171	B-Ref
NDUFB11	NDUFC2	0.317426233582782	B-Ref
NDUFB8	NDUFA9	0.707248096545409	B-Ref
NDUFV1	NDUFA9	0.657379845565405	Ref-Ref
NDUFC2	NDUFA9	0.504982340431718	Ref-Ref
NDUFA9	NDUFA9	1	Ref-Ref
NDUFB1	NDUFA9	0.500391180656806	B-Ref
NDUFB10	NDUFA9	0.618351123291381	B-Ref
NDUFB7	NDUFA9	0.44386747820603	B-Ref
NDUFB3	NDUFA9	0.462447487409588	B-Ref
NDUFB4	NDUFA9	0.673464801515412	B-Ref
NDUFB5	NDUFA9	0.805236767921912	B-Ref
NDUFS4	NDUFA9	0.426696867395812	Ref-Ref
NDUFB2	NDUFA9	0.445438187443417	B-Ref
NDUFB9	NDUFA9	0.59524946576662	B-Ref
NDUFB6	NDUFA9	0.602043713288854	B-Ref
NDUFB11	NDUFA9	0.512053657971203	B-Ref
NDUFB8	NDUFB1	0.561385206046929	B-B
NDUFV1	NDUFB1	0.634461200937128	B-Ref
NDUFC2	NDUFB1	0.541530571379089	B-Ref
NDUFA9	NDUFB1	0.500391180656806	B-Ref
NDUFB1	NDUFB1	1	B-B
NDUFB10	NDUFB1	0.498865906689241	B-B
NDUFB7	NDUFB1	0.521457695305501	B-B
NDUFB3	NDUFB1	0.310275978164863	B-B
NDUFB4	NDUFB1	0.592885139960742	B-B
NDUFB5	NDUFB1	0.523159446167835	B-B
NDUFS4	NDUFB1	0.321832903280987	B-Ref
NDUFB2	NDUFB1	0.586061145381324	B-B
NDUFB9	NDUFB1	0.588262108046478	B-B
NDUFB6	NDUFB1	0.612498824498775	B-B
NDUFB11	NDUFB1	0.421338466178501	B-B
NDUFB8	NDUFB10	0.552508310154436	B-B
NDUFV1	NDUFB10	0.735817749415191	B-Ref
NDUFC2	NDUFB10	0.406367518910998	B-Ref
NDUFA9	NDUFB10	0.618351123291381	B-Ref
NDUFB1	NDUFB10	0.498865906689241	B-B
NDUFB10	NDUFB10	1	B-B
NDUFB7	NDUFB10	0.620465747913805	B-B
NDUFB3	NDUFB10	0.521677274749837	B-B
NDUFB4	NDUFB10	0.713824570434667	B-B
NDUFB5	NDUFB10	0.464539191083323	B-B
NDUFS4	NDUFB10	0.390826391208979	B-Ref
NDUFB2	NDUFB10	0.612676858991681	B-B
NDUFB9	NDUFB10	0.674500721228083	B-B
NDUFB6	NDUFB10	0.574794995557894	B-B
NDUFB11	NDUFB10	0.625496026232815	B-B
NDUFB8	NDUFB7	0.594722456012646	B-B
NDUFV1	NDUFB7	0.702245357104069	B-Ref
NDUFC2	NDUFB7	0.285952096638869	B-Ref
NDUFA9	NDUFB7	0.44386747820603	B-Ref
NDUFB1	NDUFB7	0.521457695305501	B-B
NDUFB10	NDUFB7	0.620465747913805	B-B
NDUFB7	NDUFB7	1	B-B
NDUFB3	NDUFB7	0.331004441603894	B-B
NDUFB4	NDUFB7	0.642999279039178	B-B
NDUFB5	NDUFB7	0.352728051996521	B-B
NDUFS4	NDUFB7	0.462049981781946	B-Ref
NDUFB2	NDUFB7	0.609997930051995	B-B
NDUFB9	NDUFB7	0.535380201240201	B-B
NDUFB6	NDUFB7	0.46089730428114	B-B
NDUFB11	NDUFB7	0.545210346528216	B-B
NDUFB8	NDUFB3	0.466735766655046	B-B
NDUFV1	NDUFB3	0.367161563528216	B-Ref
NDUFC2	NDUFB3	0.306695616184659	B-Ref
NDUFA9	NDUFB3	0.462447487409588	B-Ref
NDUFB1	NDUFB3	0.310275978164863	B-B
NDUFB10	NDUFB3	0.521677274749837	B-B
NDUFB7	NDUFB3	0.331004441603894	B-B
NDUFB3	NDUFB3	1	B-B
NDUFB4	NDUFB3	0.541028238046111	B-B
NDUFB5	NDUFB3	0.46184448108598	B-B
NDUFS4	NDUFB3	0.558887417466172	B-Ref
NDUFB2	NDUFB3	0.398559180187625	B-B
NDUFB9	NDUFB3	0.50012741891668	B-B
NDUFB6	NDUFB3	0.644588268087233	B-B
NDUFB11	NDUFB3	0.663966567441961	B-B
NDUFB8	NDUFB4	0.631077276548431	B-B
NDUFV1	NDUFB4	0.705495678759364	B-Ref
NDUFC2	NDUFB4	0.531659945693317	B-Ref
NDUFA9	NDUFB4	0.673464801515412	B-Ref
NDUFB1	NDUFB4	0.592885139960742	B-B
NDUFB10	NDUFB4	0.713824570434667	B-B
NDUFB7	NDUFB4	0.642999279039178	B-B
NDUFB3	NDUFB4	0.541028238046111	B-B
NDUFB4	NDUFB4	1	B-B
NDUFB5	NDUFB4	0.63166245367003	B-B
NDUFS4	NDUFB4	0.482597080123205	B-Ref
NDUFB2	NDUFB4	0.621939074433284	B-B
NDUFB9	NDUFB4	0.675699575683576	B-B
NDUFB6	NDUFB4	0.700751833796289	B-B
NDUFB11	NDUFB4	0.61128189075404	B-B
NDUFB8	NDUFB5	0.61917089270177	B-B
NDUFV1	NDUFB5	0.532366916843275	B-Ref
NDUFC2	NDUFB5	0.590242784302511	B-Ref
NDUFA9	NDUFB5	0.805236767921912	B-Ref
NDUFB1	NDUFB5	0.523159446167835	B-B
NDUFB10	NDUFB5	0.464539191083323	B-B
NDUFB7	NDUFB5	0.352728051996521	B-B
NDUFB3	NDUFB5	0.46184448108598	B-B
NDUFB4	NDUFB5	0.63166245367003	B-B
NDUFB5	NDUFB5	1	B-B
NDUFS4	NDUFB5	0.467951685566603	B-Ref
NDUFB2	NDUFB5	0.398731265508178	B-B
NDUFB9	NDUFB5	0.555468764858804	B-B
NDUFB6	NDUFB5	0.675620619567273	B-B
NDUFB11	NDUFB5	0.445891448657625	B-B
NDUFB8	NDUFS4	0.546523615979076	B-Ref
NDUFV1	NDUFS4	0.398797797398928	Ref-Ref
NDUFC2	NDUFS4	0.310498621995813	Ref-Ref
NDUFA9	NDUFS4	0.426696867395812	Ref-Ref
NDUFB1	NDUFS4	0.321832903280987	B-Ref
NDUFB10	NDUFS4	0.390826391208979	B-Ref
NDUFB7	NDUFS4	0.462049981781946	B-Ref
NDUFB3	NDUFS4	0.558887417466172	B-Ref
NDUFB4	NDUFS4	0.482597080123205	B-Ref
NDUFB5	NDUFS4	0.467951685566603	B-Ref
NDUFS4	NDUFS4	1	Ref-Ref
NDUFB2	NDUFS4	0.420892083434588	B-Ref
NDUFB9	NDUFS4	0.531877263819826	B-Ref
NDUFB6	NDUFS4	0.593326976016559	B-Ref
NDUFB11	NDUFS4	0.605297468588622	B-Ref
NDUFB8	NDUFB2	0.600539893766098	B-B
NDUFV1	NDUFB2	0.651832796810618	B-Ref
NDUFC2	NDUFB2	0.514287720700644	B-Ref
NDUFA9	NDUFB2	0.445438187443417	B-Ref
NDUFB1	NDUFB2	0.586061145381324	B-B
NDUFB10	NDUFB2	0.612676858991681	B-B
NDUFB7	NDUFB2	0.609997930051995	B-B
NDUFB3	NDUFB2	0.398559180187625	B-B
NDUFB4	NDUFB2	0.621939074433284	B-B
NDUFB5	NDUFB2	0.398731265508178	B-B
NDUFS4	NDUFB2	0.420892083434588	B-Ref
NDUFB2	NDUFB2	1	B-B
NDUFB9	NDUFB2	0.615647687746926	B-B
NDUFB6	NDUFB2	0.644465154462683	B-B
NDUFB11	NDUFB2	0.505179089033882	B-B
NDUFB8	NDUFB9	0.689240534402713	B-B
NDUFV1	NDUFB9	0.662579573777233	B-Ref
NDUFC2	NDUFB9	0.574710433841837	B-Ref
